Truck,Date,Income,Contribution,Kms,Blackout Status
M007,2015-03-31,"R13,107.69","R1,709.70",185,Yes
M024,2015-03-31,"R13,107.69","R1,709.70",185,Yes
M031,2015-03-31,"R13,107.69","R1,709.70",185,Yes
M032,2015-03-31,"R13,107.69","R1,709.70",185,No
M033,2015-03-31,"R13,107.69","R1,709.70",185,Yes
M034,2015-03-31,"R13,107.69","R1,709.70",185,Yes
M036,2015-03-31,"R9,876.92","R1,288.29",185,Yes
M037,2015-03-31,"R9,876.92","R1,288.29",185,Yes
M038,2015-03-31,"R9,876.92","R1,288.29",185,Yes
M061,2015-03-31,"R13,107.69","R1,709.70",185,Yes
M062,2015-03-31,"R13,107.69","R1,709.70",185,Yes
M073,2015-03-31,"R9,876.92","R1,288.29",185,No
M074,2015-03-31,"R9,876.92","R1,288.29",185,No
M075,2015-03-31,"R9,876.92","R1,288.29",185,No
