Truck,Date,Income,Contribution,Kms,Blackout Status
541003,2015-02-23,"R15,556.44","R2,205.62",832,Yes
541004,2015-02-23,"R15,556.44","R2,205.62",832,Yes
541005,2015-02-23,"R15,556.44","R2,205.62",832,Yes
541009,2015-02-23,"R15,556.44","R2,205.62",832,Yes
541011,2015-02-23,"R15,556.44","R2,205.62",832,Yes
541015,2015-02-23,"R15,556.44","R2,205.62",832,Yes
541018,2015-02-23,"R15,556.44","R2,205.62",832,Yes
541020,2015-02-23,"R15,556.44","R2,205.62",832,Yes
541024,2015-02-23,"R15,556.44","R2,205.62",832,Yes
Demo,2015-02-23,"R15,556.44","R2,205.62",832,Yes
