Truck,Loading ETA,Loading Arrival,Tripleg Income,Total Kms
11,2013-12-23 08:00:00,2013-12-23 09:00:00,"82,250.00",2789
169,2013-12-22 20:00:00,2013-12-23 07:00:00,"47,489.35",2520
179,2013-12-23 15:00:00,2013-12-23 05:45:00,"70,000.00",2491.43
182,2013-12-23 08:00:00,2013-12-23 06:00:00,"69,340.00",3110
187,2013-12-23 15:00:00,2013-12-23 06:00:00,"66,500.00",2491.43
198,2013-12-23 17:00:00,2013-12-23 07:33:00,"47,393.44",2520
207,2013-12-23 08:00:00,2013-12-22 19:30:00,"82,250.00",2730
208,2013-12-23 08:00:00,2013-12-23 07:10:00,"82,391.00",3000
93,2013-12-23 10:00:00,2013-12-23 09:00:00,"47,462.94",2520
94,2013-12-23 15:00:00,2013-12-23 05:40:00,"70,000.00",2491.43
270,2013-12-23 08:00:00,2013-12-22 11:03:00,"82,391.00",2969
