Truck,Customer,Subcontractor,Loading ETA,Loading Arrival,Tripleg Income,Total Kms,Loading Started,Expected Total Kms
CG71GPGP,Meadow Feeds-Randfontein F & V,"",2015-09-29 01:30:00,2015-09-29 01:30:00,"5,319.40",274,2015-09-29 01:55:00,199
250,Wilmar Continental Edible Oils & Fats Pty Ltd F and V,"",2015-09-29 11:00:00,2015-09-29 12:45:00,"6,275.47",186,2015-09-29 14:00:00,140
251,Wilmar Continental Edible Oils & Fats Pty Ltd F and V,"",2015-09-29 08:00:00,2015-09-28 21:35:00,"6,762.79",296,2015-09-29 07:00:00,140
252,Wilmar Continental Edible Oils & Fats Pty Ltd F and V,"",2015-09-29 08:00:00,2015-09-29 08:35:00,"4,806.25",325,2015-09-29 10:20:00,192
253,Wilmar Continental Edible Oils & Fats Pty Ltd F and V,"",2015-09-29 07:00:00,2015-09-29 09:00:00,"2,421.29",4,2015-09-29 09:35:00,0
254,Wilmar Continental Edible Oils & Fats Pty Ltd F and V,"",2015-09-29 07:00:00,2015-09-29 06:30:00,"8,201.55",397,2015-09-29 08:00:00,162
256,Wilmar Continental Edible Oils & Fats Pty Ltd F and V,"",2015-09-29 09:00:00,2015-09-29 05:50:00,"7,589.18",375,2015-09-29 09:45:00,162
257,Wilmar Continental Edible Oils & Fats Pty Ltd F and V,"",2015-09-29 07:00:00,2015-09-29 05:00:00,"7,070.59",356,2015-09-29 08:50:00,162
258,Wilmar Continental Edible Oils & Fats Pty Ltd F and V,"",2015-09-29 07:00:00,2015-09-29 05:00:00,"2,535.05",4,2015-09-29 08:41:00,0
259,Wilmar Continental Edible Oils & Fats Pty Ltd F and V,"",2015-09-29 07:00:00,(none),"3,806.95",162,(none),162
260,Wilmar Continental Edible Oils & Fats Pty Ltd,"",2015-09-29 07:00:00,2015-09-28 21:45:00,"3,762.12",334,2015-09-29 07:30:00,216
255,Wilmar Continental Edible Oils & Fats Pty Ltd F and V,"",2015-09-29 07:00:00,2015-09-29 05:15:00,"7,394.42",325,2015-09-29 08:50:00,192
D02,RE,"",2015-09-29 07:05:00,2015-09-29 16:10:00,"2,079.22",85,2015-09-29 16:15:00,0
D03,RE,"",2015-09-29 07:00:00,2015-09-29 07:00:10,"2,577.07",201,2015-09-29 07:00:20,0
D04,RE,"",2015-09-29 07:00:00,2015-09-29 07:00:10,"2,225.18",124,2015-09-29 07:00:20,0
D05,RE,"",2015-09-29 07:00:00,2015-09-29 07:00:10,"2,238.89",127,2015-09-29 07:00:20,0
D06,RE,"",2015-09-29 07:00:00,2015-09-29 07:00:10,"3,759.95",329,2015-09-29 07:00:20,0
D08,RE,"",2015-09-29 07:00:00,2015-09-29 07:00:00,"3,017.04",230,2015-09-29 07:00:00,0
D10,RE,"",2015-09-29 07:00:00,2015-09-29 07:00:00,"3,604.91",199,2015-09-29 07:00:00,0
D13,RE,"",2015-09-29 07:00:00,(none),"1,965.71",25,(none),25
D14,RE,"",2015-09-29 07:00:00,(none),"1,831.21",0,(none),0
D15,RE,"",2015-09-29 07:00:00,2015-09-29 07:00:00,"2,907.21",200,2015-09-29 07:00:00,25
D16,RE,"",2015-09-29 07:00:00,(none),"1,965.71",25,(none),25
D18,RE,"",2015-09-29 07:00:00,2015-09-29 07:00:00,"6,745.30",633,2015-09-29 07:00:00,0
D20,RE,"",2015-09-29 07:00:00,2015-09-29 07:00:00,"3,413.53",166,2015-09-29 07:00:00,0
D22,RE,"",2015-09-29 07:00:00,2015-09-29 07:00:10,"2,566.82",39,2015-09-29 07:00:20,0
D01,RE,"",2015-09-29 07:00:00,2015-09-29 07:00:00,"2,928.19",299,2015-09-29 07:00:00,0
D11,RE,"",2015-09-29 07:00:00,2015-09-29 07:00:00,"3,953.67",424,2015-09-29 07:00:00,0
D12,RE,"",2015-09-29 07:00:00,2015-09-29 07:00:10,"3,340.47",305,2015-09-29 07:00:20,25
D17,RE,"",2015-09-29 07:00:00,2015-09-29 07:00:00,"4,811.57",300,2015-09-29 07:00:00,300
D19,RE,"",2015-09-29 07:00:00,2015-09-29 07:00:00,"2,292.33",0,2015-09-29 07:00:00,0
D21,RE,"",2015-09-29 07:00:00,2015-09-29 07:00:10,"6,053.27",460,2015-09-29 07:00:20,0
D07,RE,"",2015-09-29 07:05:00,2015-09-29 16:10:00,"2,782.86",166,2015-09-29 16:15:00,0
D28,RE,"",2015-09-29 07:00:00,2015-09-29 07:00:10,"2,607.04",145,2015-09-29 07:00:20,0
D24,RE,"",2015-09-29 07:00:00,2015-09-29 07:00:10,"1,592.25",28,2015-09-29 07:00:20,15
143003,Toyota X-Dock F & V,"",2015-09-29 08:00:00,2015-09-29 08:00:00,"2,320.82",171,2015-09-29 08:05:00,84
143003,Toyota X-Dock F & V,"",2015-09-29 13:30:00,2015-09-29 13:40:00,"2,972.28",219,2015-09-29 14:00:00,117
538253,Toyota X-Dock F & V,"",2015-09-29 07:00:00,2015-09-29 07:00:00,"1,559.57",33,2015-09-29 07:10:00,15
538253,Toyota X-Dock F & V,"",2015-09-29 11:00:00,2015-09-29 11:00:00,567.12,12,2015-09-29 11:05:00,0
