Fleet No.,Refuel Order Number,Odometer,Last Trip Odometer,Variance
"","","","",""
M065,405257,48412.00,48412.00,0.00
"","","","",""
M039,405660,50300.00,50573.00,-273.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M064,407675,43356.00,43934.00,-578.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M064,408872,44556.00,44546.00,10.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M064,412042,45676.00,45676.00,0.00
"","","","",""
M066,412156,49305.00,50434.00,-1129.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M065,414975,53158.00,53589.00,-431.00
M064,415028,47031.00,48718.00,-1687.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M065,416966,54016.00,54014.00,2.00
"","","","",""
M039,418998,57124.00,58262.00,-1138.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M066,424254,53932.00,53515.00,417.00
M065,424255,55153.00,54731.00,422.00
M064,424256,51329.00,50899.00,430.00
M039,425691,60994.00,60240.00,754.00
M064,425697,52012.00,50899.00,1113.00
"","","","",""
"","","","",""
"","","","",""
M064,426319,"",50899.00,-50899.00
M065,426321,"",54731.00,-54731.00
M066,426322,"",53515.00,-53515.00
