Truck,Date,Income,Contribution,Kms,Blackout Status
144010,2015-02-23,"R3,754.17",R375.42,125,Yes
444044,2015-02-23,"R10,098.58",R0.00,532,Yes
444045,2015-02-23,"R10,098.58",R0.00,532,Yes
444046,2015-02-23,"R10,098.58",R0.00,532,Yes
444047,2015-02-23,"R10,098.58",R0.00,532,Yes
444048,2015-02-23,"R7,388.13","R1,764.45",386,Yes
444049,2015-02-23,"R6,454.33","R1,764.45",333,Yes
444066,2015-02-23,"R7,388.13","R1,764.45",386,Yes
444067,2015-02-23,"R7,388.13","R1,764.45",386,Yes
444068,2015-02-23,"R7,388.13","R1,764.45",386,Yes
545228,2015-02-23,"R7,388.13","R1,764.45",386,Yes
545235,2015-02-23,"R7,388.13","R1,764.45",386,Yes
545243,2015-02-23,"R6,303.08","R1,307.21",250,Yes
545244,2015-02-23,"R6,303.08","R1,307.21",250,Yes
E39,2015-02-23,"R7,388.13","R1,764.45",386,Yes
Enduro 01,2015-02-23,"R7,388.13","R1,764.45",386,Yes
Enduro 02,2015-02-23,"R7,388.13","R1,764.45",386,Yes
Enduro 03,2015-02-23,"R7,388.13","R1,764.45",386,Yes
Isilungo 01,2015-02-23,"R3,754.17",R375.42,125,Yes
Mabeleng 01,2015-02-23,"R3,754.17",R375.42,125,Yes
Nyangaya 01,2015-02-23,"R3,754.17",R375.42,125,Yes
Seitshiro 01,2015-02-23,"R3,754.17",R375.42,125,Yes
SN Matjoko 01,2015-02-23,"R7,388.13","R1,764.45",386,Yes
SN Matjoko 02,2015-02-23,"R3,754.17",R375.42,125,Yes
Xheko 01,2015-02-23,"R3,754.17",R375.42,125,Yes
Zem 01,2015-02-23,"R3,754.17",R375.42,125,Yes
Zem 02,2015-02-23,"R3,754.17",R375.42,125,Yes
