Truck,FM ID,Primary Fleet,Function Code,Date,Income,Contribution,Kms,Blackout Status
D01,1272,RE - Denver,"",2015-08-02,"R2,221.48",R194.03,104,Yes
D02,1273,RE - KZN,"",2015-08-02,"R2,260.28",R194.03,87,Yes
D03,1274,RE - KZN,"",2015-08-02,"R2,431.40",R170.83,168,No
D04,1275,RE - KZN,"",2015-08-02,"R2,260.26",R170.83,123,No
D05,1276,RE - KZN,"",2015-08-02,"R2,205.84",R170.83,109,No
D06,1278,RE - KZN,"",2015-08-02,"R2,290.47",R289.28,54,No
D07,1279,RE - KZN,"",2015-08-02,"R3,310.05",R289.28,252,Yes
D08,1280,RE - Denver,"",2015-08-02,"R3,167.92",R289.28,241,Yes
D10,1282,RE - Denver,"",2015-08-02,"R4,409.13",R401.20,257,Yes
D11,1283,RE - Denver,"",2015-08-02,"R2,647.51",R286.85,132,Yes
D12,1284,RE - KZN,"",2015-08-02,"R2,853.88",R286.85,184,Yes
D13,1285,RE - KZN,"",2015-08-02,"R2,736.29",R286.85,146,No
D14,1286,RE - KZN,"",2015-08-02,"R3,049.36",R286.85,209,No
D15,1287,RE - KZN,"",2015-08-02,"R3,056.47",R286.85,211,No
D16,1288,RE - KZN,"",2015-08-02,"R3,185.94",R268.15,222,Yes
D17,1277,RE - Denver,"",2015-08-02,"R4,292.43",R486.92,248,Yes
D18,1289,RE - Denver,"",2015-08-02,"R4,066.52",R425.21,242,Yes
D19,1290,RE - Cape,"",2015-08-02,"R3,243.42",R436.00,111,Yes
D20,1291,RE - Denver,"",2015-08-02,"R3,993.42",R425.21,214,Yes
D21,1292,RE - KZN,"",2015-08-02,"R3,852.03",R436.00,199,No
D22,1293,RE - KZN,"",2015-08-02,"R3,664.33",R425.21,183,No
D23,1294,RE - Denver,"",2015-08-02,"R4,237.18",R436.00,242,Yes
D24,1295,RE - KZN,"",2015-08-02,"R1,628.91",R33.31,21,Yes
D25,1299,RE - KZN,"",2015-08-02,"R2,529.16",R262.81,70,Yes
D26,1296,RE - Cape,"",2015-08-02,"R2,381.60",R273.36,70,Yes
D27,64,RE- Consolidated,"",2015-08-02,"R2,443.16",R273.36,70,No
D28,1298,RE - KZN,"",2015-08-02,"R2,252.63",R176.54,70,No
D584,30097,RE - KZN,"",2015-08-02,"R2,311.50",R287.90,70,Yes
D585,"",RE - Rental,"",2015-08-02,"R2,288.42",R287.90,70,No
D586,"",RE - KZN,"",2015-08-02,"R3,011.49",R475.67,70,Yes
D587,"",RE- Consolidated,"",2015-08-02,"R3,011.49",R475.67,70,Yes
D588,"",RE - Rental,"",2015-08-02,"R3,183.03",R609.66,70,Yes
D589,"",RE- Consolidated,"",2015-08-02,"R3,267.67",R609.66,70,Yes
D590,"",RE - Rental,"",2015-08-02,"R2,872.99",R475.67,70,Yes
D591,"",RE- Consolidated,"",2015-08-02,"R2,872.99",R475.67,70,Yes
D615,"",RE - Rental,"",2015-08-02,"R2,357.67",R287.90,70,Yes
D634,30712,RE - Denver,"",2015-08-02,"R4,317.95",R581.72,161,Yes
D635,30713,RE - Denver,"",2015-08-02,"R4,317.95",R581.72,161,Yes
D636,30714,RE - Denver,"",2015-08-02,"R4,317.95",R581.72,161,Yes
D695,31074,RE - Denver,"",2015-08-02,"R3,997.39",R476.44,161,Yes
