Truck,Date,Income,Contribution,Kms,Blackout Status
143001,2015-03-31,"R4,116.36",R740.94,200,Yes
143002,2015-03-31,"R4,116.36",R740.94,200,Yes
143003,2015-03-31,"R4,116.36",R740.94,200,Yes
143004,2015-03-31,"R4,116.36",R740.94,200,No
525201,2015-03-31,"R3,270.12",R588.62,200,No
538257,2015-03-31,"R3,297.32",R593.52,192,No
545249,2015-03-31,"R13,894.62","R2,501.03",971,Yes
545250,2015-03-31,"R13,894.62","R2,501.03",971,Yes
545251,2015-03-31,"R13,894.62","R2,501.03",971,No
545252,2015-03-31,"R13,894.62","R2,501.03",971,Yes
545253,2015-03-31,"R13,894.62","R2,501.03",971,Yes
545254,2015-03-31,"R13,894.62","R2,501.03",971,Yes
C2,2015-03-31,"R2,292.30",R412.61,192,No
Hire1,2015-03-31,"R2,613.73",R470.47,192,Yes
Hire2,2015-03-31,"R2,613.73",R470.47,192,No
Hire3,2015-03-31,"R2,613.73",R470.47,192,Yes
