Fleet No.,Refuel Order Number,Odometer,Last Trip Odometer,Variance
"","","","",""
444001,404441,"",78085.00,-78085.00
"","","","",""
T2974,404446,360197.00,359952.00,245.00
"","","","",""
PPC_H-Aux,404448,11.00,(n/a),0.00
"","","","",""
"","","","",""
545220,404454,412833.00,410695.00,2138.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,404517,11.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
545220,404561,413119.00,411690.00,1429.00
"","","","",""
"","","","",""
"","","","",""
T2974,404571,362231.00,361684.00,547.00
PPC_H-Aux,404573,11.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,404591,11.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,405465,11.00,(n/a),0.00
B60,405466,1160799.00,1159999.00,800.00
"","","","",""
PPC_H-Aux,405469,11.00,(n/a),0.00
"","","","",""
"","","","",""
545233,405887,384562.00,383882.00,680.00
"","","","",""
T2998,405896,"",416058.00,-416058.00
"","","","",""
444002,405909,"",73973.00,-73973.00
"","","","",""
"","","","",""
"","","","",""
S12075,405954,778915.00,777582.00,1333.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
T12051,405963,918804.00,918492.00,312.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
B60,406026,1162445.00,1161723.00,722.00
T2962,406029,463474.00,463471.00,3.00
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,406035,11.00,(n/a),0.00
"","","","",""
PPC_H-Aux,406238,11.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
T2974,406269,363445.00,363314.00,131.00
"","","","",""
"","","","",""
"","","","",""
T12063,406278,886949.00,886604.00,345.00
S12075,407248,779623.00,777582.00,2041.00
"","","","",""
"","","","",""
PPC_H-Aux,407254,11.00,(n/a),0.00
B60,407255,1164014.00,1163302.00,712.00
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,407267,11.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,407280,11.00,(n/a),0.00
"","","","",""
PPC_H-Aux,407287,11.00,(n/a),0.00
"","","","",""
PPC_H-Aux,407298,11.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
545225,407676,421935.00,421523.00,412.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
E40,407810,"",634651.00,-634651.00
"","","","",""
"","","","",""
T12063,408463,888903.00,888901.00,2.00
PPC_H-Aux,408468,11.00,(n/a),0.00
"","","","",""
"","","","",""
PPC_H-Aux,408486,11.00,(n/a),0.00
"","","","",""
"","","","",""
B60,408501,1167042.00,1166242.00,800.00
"","","","",""
PPC_H-Aux,408513,11.00,(n/a),0.00
"","","","",""
"","","","",""
545220,408655,414864.00,414159.00,705.00
PPC_H-Aux,408657,11.00,(n/a),0.00
"","","","",""
"","","","",""
PPC_H-Aux,408663,34.00,(n/a),0.00
"","","","",""
B60,408665,1167585.00,1166242.00,1343.00
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,408961,34.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
T12063,408987,889785.00,889554.00,231.00
"","","","",""
545225,408995,423093.00,423090.00,3.00
PPC_H-Aux,408998,34.00,(n/a),0.00
"","","","",""
"","","","",""
T2962,409215,467447.00,466771.00,676.00
"","","","",""
PPC_H-Aux,409227,34.00,(n/a),0.00
PPC_H-Aux,409230,34.00,(n/a),0.00
T2974,409231,364903.00,364809.00,94.00
"","","","",""
PPC_H-Aux,409234,34.00,(n/a),0.00
"","","","",""
"","","","",""
T12051,410174,921597.00,921257.00,340.00
PPC_H-Aux,410177,34.00,(n/a),0.00
"","","","",""
T12063,410182,890145.00,889936.00,209.00
"","","","",""
PPC_H-Aux,410186,34.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,410393,34.00,(n/a),0.00
"","","","",""
PPC_H-Aux,410404,34.00,(n/a),0.00
"","","","",""
PPC_H-Aux,410670,34.00,(n/a),0.00
545225,411251,424337.00,424416.00,-79.00
"","","","",""
PPC_H-Aux,411846,34.00,(n/a),0.00
"","","","",""
T12063,412070,890377.00,890145.00,232.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
545220,412079,416378.00,416224.00,154.00
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,412086,34.00,(n/a),0.00
T12051,412087,923496.00,923496.00,0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
545220,412341,416783.00,416464.00,319.00
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,412764,34.00,(n/a),0.00
T2962,412765,469795.00,469512.00,283.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,412785,34.00,(n/a),0.00
PPC_H-Aux,412787,34.00,(n/a),0.00
T12051,412790,924062.00,924061.00,1.00
"","","","",""
T2962,412793,470556.00,470379.00,177.00
"","","","",""
"","","","",""
"","","","",""
T12063,412798,891630.00,891451.00,179.00
B60,412800,1169508.00,1169154.00,354.00
"","","","",""
T3001,412806,445340.00,444546.00,794.00
T2900,413208,175864.00,175861.00,3.00
"","","","",""
"","","","",""
PPC_H-Aux,413221,34.00,(n/a),0.00
B60,413225,1169836.00,1169390.00,446.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
T12063,413239,891943.00,891631.00,312.00
"","","","",""
PPC_H-Aux,413245,34.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,413633,34.00,(n/a),0.00
"","","","",""
PPC_H-Aux,413645,34.00,(n/a),0.00
"","","","",""
"","","","",""
PPC_H-Aux,413847,34.00,(n/a),0.00
"","","","",""
PPC_H-Aux,413851,34.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
T2986,413858,316801.00,316621.00,180.00
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,414051,34.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
T3001,414067,447260.00,447019.00,241.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
545225,414854,425352.00,425349.00,3.00
T12063,414855,893000.00,892789.00,211.00
"","","","",""
B60,414859,1172916.00,1171819.00,1097.00
PPC_H-Aux,414861,34.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,414877,34.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
545233,415803,386460.00,383882.00,2578.00
PPC_H-Aux,415804,34.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,415813,34.00,(n/a),0.00
"","","","",""
PPC_H-Aux,415822,34.00,(n/a),0.00
B60,415823,1173646.00,1172916.00,730.00
PPC_H-Aux,415825,34.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,416192,34.00,(n/a),0.00
T12051,416194,927693.00,927445.00,248.00
"","","","",""
"","","","",""
PPC_H-Aux,416200,34.00,(n/a),0.00
T2974,416203,369839.00,369570.00,269.00
"","","","",""
"","","","",""
PPC_H-Aux,416209,34.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
E43,417463,"",641768.00,-641768.00
"","","","",""
"","","","",""
"","","","",""
T2998,417474,"",424609.00,-424609.00
PPC_H-Aux,417476,34.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
T12087,417666,803320.00,802974.00,346.00
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,417677,34.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
T12063,417983,895647.00,895437.00,210.00
"","","","",""
T12087,417993,804195.00,803987.00,208.00
PPC_H-Aux,418000,34.00,(n/a),0.00
"","","","",""
545220,418132,419802.00,419602.00,200.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,418464,34.00,(n/a),0.00
"","","","",""
"","","","",""
T2974,418475,370464.00,370201.00,263.00
PPC_H-Aux,418478,34.00,(n/a),0.00
"","","","",""
PPC_H-Aux,418481,34.00,(n/a),0.00
"","","","",""
T12063,418488,896450.00,895648.00,802.00
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,418501,34.00,(n/a),0.00
"","","","",""
"","","","",""
T2974,418942,370803.00,370464.00,339.00
545220,418943,420300.00,420016.00,284.00
"","","","",""
PPC_H-Aux,418946,34.00,(n/a),0.00
"","","","",""
PPC_H-Aux,418948,34.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,418958,34.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,419109,34.00,(n/a),0.00
"","","","",""
"","","","",""
545220,419121,420728.00,420300.00,428.00
T12051,419123,930629.00,930114.00,515.00
PPC_H-Aux,419992,34.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,420014,34.00,(n/a),0.00
"","","","",""
T12087,420017,805433.00,810222.00,-4789.00
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,420022,34.00,(n/a),0.00
PPC_H-Aux,420024,34.00,(n/a),0.00
PPC_H-Aux,420025,34.00,(n/a),0.00
S12075,420028,785991.00,785990.00,1.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
T12051,420717,930976.00,930749.00,227.00
"","","","",""
"","","","",""
T12063,420729,897974.00,897643.00,331.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
T3001,420757,451366.00,451154.00,212.00
"","","","",""
"","","","",""
PPC_H-Aux,421200,34.00,(n/a),0.00
T12063,421205,898671.00,898496.00,175.00
"","","","",""
T12087,421212,806492.00,806382.00,110.00
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,421226,34.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
T12051,421602,931711.00,931613.00,98.00
PPC_H-Aux,421610,34.00,(n/a),0.00
"","","","",""
"","","","",""
PPC_H-Aux,421622,34.00,(n/a),0.00
"","","","",""
PPC_H-Aux,421629,34.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,422486,34.00,(n/a),0.00
T12063,422489,900125.00,899442.00,683.00
"","","","",""
T12087,422495,807151.00,806762.00,389.00
"","","","",""
"","","","",""
PPC_H-Aux,422503,34.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
T2900,422686,182390.00,181809.00,581.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,423095,34.00,(n/a),0.00
PPC_H-Aux,423100,34.00,(n/a),0.00
"","","","",""
"","","","",""
PPC_H-Aux,423107,34.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,423124,34.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
T12087,423704,807900.00,807701.00,199.00
PPC_H-Aux,423705,34.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,424131,34.00,(n/a),0.00
"","","","",""
T12087,424755,808180.00,808065.00,115.00
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,424761,34.00,(n/a),0.00
T2974,424763,374116.00,373623.00,493.00
S12075,424768,788265.00,788009.00,256.00
"","","","",""
"","","","",""
444002,424976,81850.00,81558.00,292.00
"","","","",""
PPC_H-Aux,424981,34.00,(n/a),0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
PPC_H-Aux,425841,34.00,(n/a),0.00
"","","","",""
"","","","",""
PPC_H-Aux,425851,34.00,(n/a),0.00
"","","","",""
PPC_H-Aux,425858,34.00,(n/a),0.00
"","","","",""
T12087,425864,809554.00,809391.00,163.00
"","","","",""
T2900,425870,185580.00,185402.00,178.00
PPC_H-Aux,425872,34.00,(n/a),0.00
"","","","",""
PPC_H-Aux,426345,34.00,(n/a),0.00
"","","","",""
"","","","",""
S12075,426353,789751.00,789558.00,193.00
"","","","",""
"","","","",""
"","","","",""
