Truck,Customer,Subcontractor,Loading ETA,Loading Arrival,Tripleg Income,Total Kms,Loading Started,Expected Total Kms
140250,Meadow Feeds-PMB F & V,"",2015-09-13 06:00:00,2015-09-13 06:00:00,"5,478.52",238,2015-09-13 06:10:00,0
140251,Meadow Feeds-PMB F & V,"",2015-09-13 00:10:00,2015-09-13 00:10:00,"5,020.48",194,2015-09-13 00:20:00,119
140253,Meadow Feeds-PMB F & V,"",2015-09-13 07:00:00,2015-09-13 07:00:00,"4,676.95",159,2015-09-13 07:10:00,0
140255,Meadow Feeds-PMB F & V,"",2015-09-13 06:00:00,2015-09-13 00:10:00,"6,051.07",291,2015-09-13 00:30:00,134
135004,Meadow Feeds-PMB F & V,"",2015-09-13 07:00:00,2015-09-13 07:00:00,"3,885.79",84,2015-09-13 07:10:00,0
141008,Meadow Feeds-PMB F & V,"",2015-09-13 06:00:00,2015-09-13 06:00:00,"1,958.51",43,2015-09-13 06:10:00,25
141008,Meadow Feeds-PMB F & V,"",2015-09-13 11:00:00,(none),"1,771.13",25,(none),25
141009,Meadow Feeds-PMB F & V,"",2015-09-13 09:00:00,2015-09-13 09:00:00,"4,239.73",117,2015-09-13 09:10:00,60
141010,Meadow Feeds-PMB F & V,"",2015-09-13 07:00:00,2015-09-13 07:00:00,"3,448.57",42,2015-09-13 07:10:00,25
135001,Meadow Feeds-PMB F & V,"",(none),(none),"3,021.76",0,2015-09-13 00:00:00,0
135002,Meadow Feeds-PMB F & V,"",(none),(none),"3,021.76",0,2015-09-13 00:00:00,0
140252,Meadow Feeds-PMB F & V,"",(none),(none),"3,021.76",0,2015-09-13 00:00:00,0
135001,Meadow Feeds-PMB F & V,"",(none),(none),"3,021.76",0,2015-09-14 00:00:00,0
140256,Meadow Feeds-PMB F & V,"",(none),(none),"4,005.98",0,2015-09-14 00:00:00,0
140254,Meadow Feeds-PMB F & V,"",(none),(none),"3,021.76",0,2015-09-13 00:00:00,0
140257,Meadow Feeds-PMB F & V,"",(none),(none),"3,021.76",0,2015-09-13 00:00:00,0
141002,Meadow Feeds-PMB F & V,"",(none),(none),"3,021.76",0,2015-09-13 00:00:00,0
