Fleet No.,Refuel Order Number,Odometer,Last Trip Odometer,Variance
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
T142,409423,3989.00,19749.00,-15760.00
T142,409432,4644.00,4751.00,-107.00
"","","","",""
"","","","",""
"","","","",""
T142,409440,10360.00,10254.00,106.00
"","","","",""
T142,409444,14362.00,15266.00,-904.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
T144,409590,3447.00,2968.00,479.00
"","","","",""
T144,409592,4834.00,4829.00,5.00
T146,409596,1418.00,1412.00,6.00
"","","","",""
"","","","",""
"","","","",""
T141,410222,2889.00,2882.00,7.00
T141,410223,5367.00,5636.00,-269.00
"","","","",""
"","","","",""
T141,410226,12912.00,12904.00,8.00
"","","","",""
"","","","",""
"","","","",""
T141,410230,21148.00,21377.00,-229.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
T143,410236,7819.00,8129.00,-310.00
"","","","",""
T143,410238,11905.00,26375.00,-14470.00
T143,410239,12222.00,12742.00,-520.00
"","","","",""
"","","","",""
T143,410242,17021.00,16931.00,90.00
"","","","",""
T143,410245,20733.00,20728.00,5.00
"","","","",""
"","","","",""
"","","","",""
T146,410567,2667.00,2647.00,20.00
"","","","",""
"","","","",""
"","","","",""
T143,410830,21843.00,21924.00,-81.00
"","","","",""
T141,411019,22938.00,22932.00,6.00
"","","","",""
"","","","",""
"","","","",""
T145,411442,8033.00,8291.00,-258.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
T146,412133,4956.00,4943.00,13.00
"","","","",""
"","","","",""
T143,412433,24368.00,24363.00,5.00
T146,412471,5384.00,5397.00,-13.00
"","","","",""
T141,412901,25491.00,25483.00,8.00
"","","","",""
T144,412912,8418.00,8417.00,1.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
T146,413439,6437.00,6436.00,1.00
T141,413804,26997.00,26424.00,573.00
T143,413811,25885.00,25966.00,-81.00
T144,413980,9180.00,9030.00,150.00
"","","","",""
T141,414003,27965.00,26885.00,1080.00
"","","","",""
T145,414062,12556.00,12551.00,5.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
T146,414349,8011.00,8016.00,-5.00
T144,414419,9869.00,9862.00,7.00
T143,414456,26742.00,26853.00,-111.00
"","","","",""
"","","","",""
T144,414913,10334.00,10323.00,11.00
"","","","",""
T142,415104,24121.00,24201.00,-80.00
T145,415199,14136.00,14130.00,6.00
"","","","",""
"","","","",""
"","","","",""
T142,415547,25169.00,24642.00,527.00
"","","","",""
T145,415970,15066.00,14986.00,80.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
T141,416390,29761.00,29755.00,6.00
"","","","",""
"","","","",""
T142,416484,26074.00,25992.00,82.00
T143,416502,28162.00,28241.00,-79.00
"","","","",""
"","","","",""
T141,416641,30284.00,30289.00,-5.00
"","","","",""
"","","","",""
T146,416726,11293.00,11442.00,-149.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
T146,417610,12394.00,12314.00,80.00
T141,417708,31354.00,31569.00,-215.00
"","","","",""
T145,417857,17851.00,17839.00,12.00
"","","","",""
"","","","",""
"","","","",""
T144,418168,13875.00,13875.00,0.00
"","","","",""
T143,418290,30379.00,30481.00,-102.00
T142,418466,28861.00,28856.00,5.00
"","","","",""
"","","","",""
"","","","",""
T142,418750,29435.00,29349.00,86.00
"","","","",""
T144,418931,14399.00,14394.00,5.00
"","","","",""
T145,419102,18796.00,19319.00,-523.00
"","","","",""
T144,419393,14925.00,14919.00,6.00
"","","","",""
T143,419405,31217.00,31366.00,-149.00
"","","","",""
T146,419495,14468.00,14361.00,107.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
T145,419995,20707.00,20533.00,174.00
T142,420283,31424.00,31419.00,5.00
"","","","",""
"","","","",""
T141,420732,35533.00,35528.00,5.00
T146,420829,16729.00,15725.00,1004.00
"","","","",""
"","","","",""
T143,421282,32741.00,32846.00,-105.00
T145,421674,21665.00,21665.00,0.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
T141,421829,36594.00,36856.00,-262.00
"","","","",""
"","","","",""
T144,422074,18088.00,18083.00,5.00
"","","","",""
"","","","",""
"","","","",""
T144,422255,18606.00,18610.00,-4.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
T141,422664,37921.00,38071.00,-150.00
T143,422955,34955.00,34872.00,83.00
"","","","",""
"","","","",""
T143,423381,35250.00,35204.00,46.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
T145,423883,22888.00,22798.00,90.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
T144,425259,20574.00,20724.00,-150.00
T142,425495,37090.00,37450.00,-360.00
"","","","",""
T144,425591,20954.00,21339.00,-385.00
T144,425627,21433.00,21339.00,94.00
"","","","",""
"","","","",""
"","","","",""
T143,426095,37687.00,37857.00,-170.00
T146,426151,18918.00,18908.00,10.00
"","","","",""
"","","","",""
