Truck,Date,Income,Contribution,Kms,Blackout Status
111,2015-02-23,"R7,845.54","R1,648.04",445,No
122,2015-02-23,"R7,230.79",R772.79,440,No
123,2015-02-23,"R7,230.79",R772.79,440,No
124,2015-02-23,"R7,230.79",R772.79,440,No
127,2015-02-23,"R7,230.79",R772.79,440,No
128,2015-02-23,"R7,845.54","R1,648.04",445,No
241,2015-02-23,"R7,063.04",R789.75,452,No
242,2015-02-23,"R7,063.04",R789.75,452,No
261,2015-02-23,"R7,063.04",R789.75,452,No
262,2015-02-23,"R7,063.04",R789.75,452,No
263,2015-02-23,"R7,063.04",R789.75,452,No
264,2015-02-23,"R7,063.04",R789.75,452,No
265,2015-02-23,"R7,063.04",R789.75,452,No
266,2015-02-23,"R7,230.79",R772.79,440,No
