Truck,FM ID,Primary Fleet,Fleet Tonnages,Function Code,Date,Income,Contribution,Kms,Blackout Status
143003,5263,EHL - P.E,40.000,336,2015-10-01,"R3,612.12",R650.18,176,No
525201,5205,Toyota - X Dock,40.000,327,2015-10-01,"R2,872.37",R517.03,176,No
538253,5192,Toyota - X Dock,40.000,327,2015-10-01,"R3,612.12",R650.18,176,Yes
538254,5193,Toyota - X Dock,40.000,327,2015-10-01,"R3,612.12",R650.18,176,No
538255,5194,Toyota - X Dock,40.000,327,2015-10-01,"R3,612.12",R650.18,176,No
538256,5195,Toyota - X Dock,40.000,327,2015-10-01,"R3,612.12",R650.18,176,Yes
538257,5196,Toyota - X Dock,40.000,327,2015-10-01,"R2,830.40",R509.47,169,No
545236,5069,Toyota Tsusho,"",329,2015-10-01,"R13,070.32","R3,902.29",771,Yes
545249,9722,Toyota - X Dock,40.000,327,2015-10-01,"R13,477.55","R2,425.96",853,Yes
545250,"",Toyota - X Dock,40.000,327,2015-10-01,"R13,477.55","R2,425.96",853,Yes
545251,9723,Toyota - X Dock,40.000,327,2015-10-01,"R13,477.55","R2,425.96",853,Yes
545252,9724,Toyota - X Dock,40.000,327,2015-10-01,"R13,477.55","R2,425.96",853,Yes
545253,9720,Toyota - X Dock,40.000,327,2015-10-01,"R13,477.55","R2,425.96",853,Yes
545254,"",Toyota - X Dock,40.000,327,2015-10-01,"R13,477.55","R2,425.96",853,Yes
C1,5125,Toyota Tsusho,"",329,2015-10-01,"R1,046.73",R312.51,54,Yes
C2,5126,Toyota - X Dock,40.000,327,2015-10-01,"R1,922.57",R346.06,161,Yes
C3,5127,Toyota Tsusho,"",329,2015-10-01,"R1,046.73",R312.51,54,Yes
IMV1,5128,Toyota Tsusho,"",329,2015-10-01,"R1,046.73",R312.51,54,Yes
IMV2,5129,Toyota Tsusho,"",329,2015-10-01,"R1,046.73",R312.51,54,Yes
IMV3,5068,Toyota Tsusho,"",329,2015-10-01,"R1,046.73",R312.51,54,Yes
