Truck,Registration,FM,Skytrack
4,NP 165559,1109,""
41,NP 157 479,1014,""
42,NP145760,307,""
43,NP 155667,159,""
44,NP 155715,109,""
45,NP 155706,152,""
46,NP 155677,153,""
47,NP 155712,154,""
48,NP 155735,174,""
49,NP 155718,156,""
5,NP189487,1252,""
50,NP 155753,157,""
51,NP 15567,175,""
52,NP 155742,158,""
54,NP 158003,1024,""
56,NP76360,326,""
56 old,NP 158004,1018,""
57,NP 157990,1017,""
58,NP 157983,1023,""
6,NP170820,10,00132968VTIB345
63,NP 104728,1063,00139730VTIDF57
64,NP 108949,1064,00031104VTI4DBD
65,NP138494,309,""
66,NP144300,311,""
67,NP143121,308,""
68,NP143661,1133,00241308VTIC749
68 old,NP107771,66,""
69,NP143309,314,""
7,NP189488,1253,""
7 OLD,NP 114588,260,""
70,NP141838,313,""
71,FGK 078 EC,316,00137493VTI3FA6
72,FKG 077 EC,317,00137154VTI6D07
73,FKG 096 EC,318,00139406VTIC903
74,FKG 095 EC,319,00137767VTI8D00
75,FKG 065 EC,320,00137486VTIA383
76,NP73462,335,""
77,NP154974,334,""
78,NP66109,328,""
78 OLD,NP141381,146,""
79,NP78456,329,""
8,NP189489,1254,""
80,NP78277,330,""
81,NP88427,331,""
82,NP91499,332,""
83,NP147935,1134,""
84,NP146179,1135,00240538VTIB03F
85,NP174729,1136,00133518VTI5603
86,NP141231,1137,00240545VTI4C62
87,NP90547,333,""
88,NP99901,340,""
89,NP100637,341,""
90,FKG 081 EC,321,00134814VTIAF53
91,FKG 074 EC,322,00134804VTI8721
92,FKG 099 EC,323,00135883VTIF834
93,FKG 086 EC,324,00134827VTI6394
94,FKG 089 EC,325,00135872VTI4BFD
95,tba,1143,00240783VTI0908
96,tba,1144,00240100VTICFB1
97,tba,1145,00240116VTI1001
98,NP101534,342,""
99,TBA,343,""
D00 (old),dummy,"",""
D01,NP 141020,303,""
D02,NP 141039,302,""
D03,NP113210,28,""
D04,NP71607,35,""
D06,NP79518,75,""
D07,NP 73595,107,""
D09,NP 34416,1100,""
D11,NP153163,103,""
D12,NP 166094,1060,""
D13,NP 166100,1053,""
D14,NP102427,"",""
D15,NP83271,"",""
D16,NP102253,62,""
D17,TBA,305,""
D18 OLD,NP86508,170000,""
D19,NP86510,25,""
D20,NP38956,49,""
D22,NP35947,203,""
D23,NP56093,"",""
D25,NP102408,73,""
D26,NP80725,30,""
D27,NP102282,64,""
D28,NP44080,59,""
D30,NP102291,"",""
D31,NP102315,"",""
D32,NP102455,"",""
D34,NUF52170,37,""
D37,NP 36102,230,""
D38,NP91033,38,""
D39,NP36474,208,""
D40,NP102261,77,""
D41,NP 36291,209,""
D42,NP102258,68,""
D43,NP 35982,210,""
D44,NP 37237,217,""
D45,NP 36130,214,""
D5,NP129690,76,""
D50,NP138820,112,""
D51,NP134811,115,""
D52,BZC440EC,"",""
D54,NP70431,101,""
D55,NP64201,57,""
D60,NP 111 451,102,""
D61,NP117321,58,""
D62,NP92691,105,""
D63,NP 36166,219,""
D64,NP 36289,231,""
D65,NP35938,232,""
D66,NP37146,233,""
D67,NP 36983,215,""
D68,NP 36958,234,""
D69,NP36863,207,""
D70,NP 36878,216,""
D71,NP 36226,218,""
D72,NP 36893,229,""
D73,NP36866,235,""
D74,NP36443,211,""
D75,NP 37063,236,""
D76,NP36500,237,""
D77,NP55852,17,""
D77 OLD,NP56395,248,""
D78,NP103 837,304,""
D79,NP 23191,257,""
DBN Coll,Collections,"",""
DM1,BX31XBGP,1247,""
DM1 OLD,BH 06 CY GP,1164,""
DM2,PX26224,1244,""
DM2OLD,BN07FXGP,1238,""
DM3,BT05GUGP,1243,""
DM4,tba,1249,""
DM4 OLD,BN07FMGP,1239,""
DM5,BY62TRGP,1248,""
DM6-OLD,BN07FRGP,1237,""
DM7,BH 06 DD GP,1163,""
DM9,BH 06 CR GP,1162,""
E01,NP 154579,274,00132611VTI984C
E02,NP 15766,275,00134272VTI2CBD
E03,NP 141422,276,00132946VTI5AD7
E04,NP 16055,277,00137123VTI706C
E05,NP 139012,278,00138308VTI8B91
E06,NP 131445,279,00139438VTI49A3
E07,NP 132531,280,00139426VTI1967
E08,NP 130269,281,00139426VTI1967
E09,NP 127446,282,00137178VTICD7F
E10,NP 141165,283,00138012VTIE5C9
E11,NP170996,268,00138643VTI4E1C
E12,NP170890,269,00240794VTIB53F
E13,NP170892,270,00240797VTI414E
E14,NP148860,271,00240732VTIBC09
E15,NP170970,272,00240795VTI3944
E16,NP174212,284,00132939VTIBEB4
E17,NP68270,285,00137208VTI4615
E18,NP17154,286,00138058VTI9EAF
E19,NP64659,287,00242002VTIACD7
E20,L446871,288,00138114VTI7FC7
E39,NP44230,291,""
E40,NP50029,339,00139436VTI4199
E41,NP51805,337,""
E42,NP52173,338,""
E43,NP130730,383,""
E44,tba,1131,""
E45,NP162302,1184,""
E46,NP164688,1183,""
E47,tba,1126,00139715VTI230C
E48,tba,1127,00139743VTI9398
E49,tba,1128,00139743VTI1939
E50,tba,1129,00139829VTIED46
E51,tba,1124,""
E52,tba,1130,00139828VTI6941
E53,NP179131,1125,""
E54,tba,1120,""
E55,NP158906,1246,""
E57,NP10545,1245,""
EMP Coll,Empageni Collections,"",""
Kok Coll,Collections KOK,"",""
old95,NP106012,178,""
old96,NP 110960,181,""
oldDM3,BN07FHGP,1240,""
PMB Coll,PMB Coll,"",""
PMB Hired Vehicle,NP?,"",""
