Truck,Date,Income,Contribution,Kms,Blackout Status
250,2015-03-31,"R6,350.74","R1,455.86",210,Yes
251,2015-03-31,"R6,350.74","R1,455.86",210,Yes
252,2015-03-31,"R6,350.74","R1,455.86",210,Yes
253,2015-03-31,"R6,350.74","R1,455.86",210,Yes
254,2015-03-31,"R6,350.74","R1,455.86",210,Yes
255,2015-03-31,"R6,350.74","R1,455.86",210,Yes
256,2015-03-31,"R6,350.74","R1,455.86",210,Yes
257,2015-03-31,"R6,350.74","R1,455.86",210,Yes
258,2015-03-31,"R6,350.74","R1,455.86",210,Yes
259,2015-03-31,"R6,350.74","R1,455.86",210,Yes
260,2015-03-31,"R6,350.74","R1,455.86",210,Yes
