Truck,FM ID,Primary Fleet,Function Code,Date,Income,Contribution,Kms,Blackout Status
145001,5390,Meadow Feeds - Standerton,"",2015-08-09,"R7,735.79",R639.71,241,Yes
145002,5396,Meadow Feeds - Standerton,"",2015-08-09,"R7,735.79",R639.71,241,Yes
145003,5391,Meadow Feeds - Standerton,"",2015-08-09,"R7,735.79",R639.71,241,Yes
145004,5392,Meadow Feeds - Standerton,"",2015-08-09,"R7,735.79",R639.71,241,Yes
145005,5394,Meadow Feeds - Standerton,"",2015-08-09,"R7,735.79",R639.71,241,Yes
145006,5393,Meadow Feeds - Standerton,"",2015-08-09,"R7,735.79",R639.71,241,Yes
145007,5395,Meadow Feeds - Standerton,"",2015-08-09,"R7,735.79",R639.71,241,Yes
541002,5165,Meadow Feeds - Delmas,320,2015-08-09,"R7,735.79",R639.71,241,Yes
545245,5377,Meadow Feeds - Randfontein,319,2015-08-09,"R7,735.79",R639.71,241,Yes
545247,5376,Meadow Feeds - Randfontein,319,2015-08-09,"R7,735.79",R639.71,241,Yes
545248,5379,Meadow Feeds - Delmas,320,2015-08-09,"R7,735.79",R639.71,241,Yes
