Truck,FM ID,Primary Fleet,Fleet Tonnages,Function Code,Date,Income,Contribution,Kms,Blackout Status
D01,1272,RE - Denver,34.000,"",2015-09-24,"R2,295.52",R200.49,108,No
D02,1273,RE - Cape,34.000,"",2015-09-24,"R2,335.62",R200.49,90,Yes
D03,1274,RE - KZN,34.000,"",2015-09-24,"R2,512.44",R176.52,173,No
D04,1275,RE - KZN,34.000,"",2015-09-24,"R2,335.60",R176.52,128,No
D05,1276,RE - KZN,34.000,"",2015-09-24,"R2,279.37",R176.52,113,No
D06,1278,RE - KZN,34.000,"",2015-09-24,"R2,366.82",R298.92,56,No
D07,1279,RE - Cape,34.000,"",2015-09-24,"R3,420.38",R298.92,260,Yes
D08,1280,RE - Denver,34.000,"",2015-09-24,"R3,273.51",R298.92,249,No
D10,1282,RE - Denver,34.000,"",2015-09-24,"R4,556.10",R414.57,265,No
D11,1283,RE - Denver,34.000,"",2015-09-24,"R2,735.76",R296.41,137,No
D12,1284,RE - KZN,34.000,"",2015-09-24,"R2,949.01",R296.41,190,No
D13,1285,RE - KZN,34.000,"",2015-09-24,"R2,827.50",R296.41,151,No
D14,1286,RE - KZN,34.000,"",2015-09-24,"R3,151.01",R296.41,216,No
D15,1287,RE - KZN,34.000,"",2015-09-24,"R3,158.35",R296.41,218,Yes
D16,1288,RE - KZN,34.000,"",2015-09-24,"R3,292.14",R277.09,229,No
D17,1277,RE - Denver,34.000,"",2015-09-24,"R4,435.51",R503.15,256,Yes
D18,1289,RE - Denver,34.000,"",2015-09-24,"R4,202.07",R439.39,250,No
D19,1290,RE - Denver,34.000,"",2015-09-24,"R3,351.53",R450.53,115,No
D20,1291,RE - Denver,34.000,"",2015-09-24,"R4,126.53",R439.39,221,No
D21,1292,RE - KZN,34.000,"",2015-09-24,"R3,980.43",R450.53,206,No
D22,1293,RE - KZN,34.000,"",2015-09-24,"R3,786.47",R439.39,190,No
D23,1294,RE - Denver,34.000,"",2015-09-24,"R4,378.42",R450.53,250,No
D24,1295,RE - KZN,34.000,"",2015-09-24,"R1,683.20",R34.42,22,No
D25,1299,RE - Rental,40.000,"",2015-09-24,"R2,613.46",R271.57,72,Yes
D26,1296,RE - Rental,40.000,"",2015-09-24,"R2,460.99",R282.47,72,Yes
D27,64,RE - Rental,40.000,"",2015-09-24,"R2,524.60",R282.47,72,Yes
D28,1298,RE - Rental,40.000,"",2015-09-24,"R2,327.71",R182.43,72,No
D584,30097,RE - Denver,34.000,"",2015-09-24,"R2,388.55",R297.50,72,No
D585,30037,RE - Rental,40.000,"",2015-09-24,"R2,364.70",R297.50,72,No
D586,9168,RE - Rental,40.000,"",2015-09-24,"R3,111.87",R491.53,72,No
D587,9171,RE - Rental,40.000,"",2015-09-24,"R3,111.87",R491.53,72,No
D588,9169,RE - Rental,40.000,"",2015-09-24,"R3,289.13",R629.98,72,Yes
D589,9170,RE - Rental,40.000,"",2015-09-24,"R3,376.59",R629.98,72,Yes
D590,9172,RE - KZN,34.000,"",2015-09-24,"R2,968.76",R491.53,72,No
D591,9173,RE - Rental,40.000,"",2015-09-24,"R2,968.76",R491.53,72,Yes
D615,30038,RE - Rental,40.000,"",2015-09-24,"R2,436.26",R297.50,72,Yes
D634,30712,RE - Denver,34.000,"",2015-09-24,"R4,461.89",R601.12,167,No
D635,30713,RE - Denver,34.000,"",2015-09-24,"R4,461.89",R601.12,167,No
D636,30714,RE - Denver,34.000,"",2015-09-24,"R4,461.89",R601.12,167,Yes
