Truck,Customer,Subcontractor,Loading ETA,Loading Arrival,Tripleg Income,Total Kms,Loading Started,Expected Total Kms
T023,Sappi ADHOC,"",2015-08-03 12:00:00,2015-08-03 12:18:00,"4,526.93",130,2015-08-03 12:47:00,120
T024,Mondi,"",2015-08-03 07:00:00,2015-08-03 07:00:00,"3,360.05",107,2015-08-03 09:00:00,110
T037,Hans Merensky,"",2015-08-03 10:00:00,2015-08-03 10:30:00,"3,242.54",134,2015-08-03 10:44:00,90
T037,Hans Merensky,"",2015-08-03 20:00:00,(none),"4,352.40",90,(none),90
T038,Erlo Geevers,"",2015-08-03 19:00:00,(none),"8,568.00",56,(none),56
T038,Erlo Geevers,"",2015-08-03 08:00:00,2015-08-03 08:38:00,"7,143.57",245,2015-08-03 09:00:00,56
T040,Manzini Estate,"",2015-08-02 20:00:00,2015-08-03 07:17:00,"3,816.40",206,2015-08-03 07:36:00,85
T040,Manzini Estate,"",2015-08-03 15:00:00,2015-08-03 15:18:00,"3,552.50",101,2015-08-03 15:39:00,85
T041,Mondi,"",2015-08-03 07:00:00,(none),"4,450.40",110,(none),110
T041,Mondi,"",2015-08-03 16:00:00,(none),"4,450.40",110,(none),110
T042,TWK,"",2015-08-03 08:00:00,2015-08-03 08:18:00,"7,770.16",223,2015-08-03 09:00:00,226
T047,Sappi,"",2015-08-03 12:00:00,2015-08-03 12:31:00,"3,546.70",146,2015-08-03 13:09:00,150
T049,Mondi,"",2015-08-03 12:00:00,2015-08-03 12:00:00,"3,666.02",107,2015-08-03 12:15:00,110
T055,Sappi Project Grow,"",2015-08-03 10:00:00,2015-08-03 10:18:00,"6,491.56",147,2015-08-03 12:24:00,146
T116,Mondi,"",2015-08-03 15:00:00,(none),"6,410.40",225,(none),225
T021,Hans Merensky,"",2015-08-03 12:00:00,2015-08-03 11:30:00,"3,669.07",133,2015-08-03 11:35:00,90
T057,Masonite Africa Ltd,"",2015-08-03 00:00:00,2015-08-03 00:50:00,"3,166.21",238,2015-08-03 01:00:00,90
T057,Sappi Project Grow,"",2015-08-03 10:00:00,2015-08-03 10:14:00,"6,119.43",149,2015-08-03 10:48:00,146
T132,NCT,"",2015-08-02 22:00:00,2015-08-02 22:15:00,"6,786.93",228,2015-08-03 00:00:00,132
T132,Sappi Project Grow,"",2015-08-03 09:00:00,2015-08-03 09:50:00,"5,600.12",139,2015-08-03 11:50:00,122
T133,Illovo Sugar (T24),"",2015-08-03 02:00:00,2015-08-03 02:15:00,732.25,6.2,2015-08-03 03:09:00,6.4
T134,Mondi,"",2015-08-03 10:00:00,2015-08-03 10:05:00,"4,591.16",189,2015-08-03 10:10:00,115
T134,Masonite Africa Ltd,"",2015-08-03 20:00:00,2015-08-03 20:49:00,"3,828.25",86,2015-08-03 21:49:00,90
T135,C Macfarlane,"",2015-08-03 08:00:00,2015-08-03 08:58:00,"6,725.53",212,2015-08-03 09:00:00,145
T135,Masonite Africa Ltd,"",2015-08-03 20:00:00,2015-08-03 20:30:00,"3,674.79",87,2015-08-03 20:37:00,90
T128,Illovo Sugar (T24),"",2015-08-03 04:00:00,2015-08-03 04:30:00,758.38,6.2,2015-08-03 04:32:00,6.4
T128,Illovo Sugar (T24),"",2015-08-03 01:00:00,2015-08-03 01:03:00,747.82,8,2015-08-03 01:23:00,6.4
T129,Illovo Sugar (T24),"",2015-08-03 02:00:00,2015-08-03 02:56:00,781.74,8.2,2015-08-03 03:55:00,6.4
T129,Illovo Sugar (T24),"",2015-08-02 23:00:00,2015-08-02 23:47:00,800.08,9,2015-08-03 00:39:00,6.4
