Truck,FM ID,Primary Fleet,Fleet Tonnages,Function Code,Date,Income,Contribution,Kms,Blackout Status
T002,4046,T24 - Revenue - Merensky,40.000,"",2015-10-16,"R3,989.70",R598.46,183,Yes
T003,4047,T24 - Revenue - Merensky,40.000,"",2015-10-16,"R7,254.01","R1,088.10",333,Yes
T004,4048,T24 - Revenue - Merensky,40.000,"",2015-10-16,"R3,989.70",R598.46,183,Yes
T005,4049,T24 - Revenue - Merensky,40.000,"",2015-10-16,"R7,979.41","R1,196.91",367,Yes
T007,4051,T24 - Revenue - Merensky,40.000,"",2015-10-16,"R7,979.41","R1,196.91",367,Yes
T008,4034,T24 - Revenue - Merensky,40.000,"",2015-10-16,"R3,989.70",R598.46,183,Yes
T009,4035,T24 - Revenue - Merensky,40.000,"",2015-10-16,"R3,989.70",R598.46,183,Yes
T021,4001,T24 - Revenue - Howick Adhoc,40.000,"",2015-10-16,"R7,278.99","R1,091.85",426,Yes
T022,4002,T24 - Revenue - Howick Adhoc,40.000,"",2015-10-16,"R7,278.99","R1,091.85",426,Yes
T023,4032,T24 - Revenue MPU Adhoc,40.000,"",2015-10-16,"R8,827.53","R1,324.13",426,Yes
T024,4033,T24 - Revenue MPU Adhoc,40.000,"",2015-10-16,"R8,827.53","R1,324.13",426,Yes
T025,4003,T24 - Revenue - Howick Adhoc,40.000,"",2015-10-16,"R7,278.99","R1,091.85",426,Yes
T037,4004,T24 - Revenue - Howick Adhoc,40.000,"",2015-10-16,"R7,278.99","R1,091.85",426,Yes
T038,4021,T24 - Revenue MPU Adhoc,40.000,"",2015-10-16,"R7,294.15","R1,094.12",426,Yes
T039,4036,T24 - Revenue MPU Adhoc,40.000,"",2015-10-16,"R7,278.99","R1,091.85",426,Yes
T040,4040,T24 - Revenue MPU Adhoc,40.000,"",2015-10-16,"R7,278.99","R1,091.85",426,Yes
T041,4041,T24 - Revenue MPU Adhoc,40.000,"",2015-10-16,"R7,278.99","R1,091.85",426,Yes
T042,4042,T24 - Revenue MPU Adhoc,40.000,"",2015-10-16,"R7,278.99","R1,091.85",426,Yes
T043,4043,T24 - Revenue MPU Adhoc,40.000,"",2015-10-16,"R7,254.01","R1,088.10",333,Yes
T044,4022,T24 - Revenue MPU Adhoc,40.000,"",2015-10-16,"R8,350.34","R1,252.55",500,Yes
T045,4023,T24 - Revenue MPU Adhoc,40.000,"",2015-10-16,"R8,350.34","R1,252.55",500,Yes
T046,4024,T24 - Revenue MPU Adhoc,40.000,"",2015-10-16,"R8,350.34","R1,252.55",500,Yes
T047,4005,T24 - Revenue - Howick Adhoc,40.000,"",2015-10-16,"R7,278.99","R1,091.85",426,Yes
T049,4045,T24 - Revenue MPU Adhoc,40.000,"",2015-10-16,"R7,294.15","R1,094.12",426,Yes
T050,4007,T24 - Revenue - Hfts AdHoc,40.000,"",2015-10-16,"R7,703.04","R1,155.46",400,Yes
T052,4013,T24 - Revenue - Hfts AdHoc,40.000,"",2015-10-16,"R7,703.04","R1,155.46",400,Yes
T053,4016,T24 - Revenue - Hfts AdHoc,40.000,"",2015-10-16,"R7,703.04","R1,155.46",400,Yes
T054,4025,T24 - Revenue - Hfts AdHoc,40.000,"",2015-10-16,"R7,703.04","R1,155.46",400,Yes
T055,4014,T24 - Revenue - Hfts AdHoc,40.000,"",2015-10-16,"R7,703.04","R1,155.46",400,Yes
T056,4008,T24 - Revenue - Hfts AdHoc,40.000,"",2015-10-16,"R7,703.04","R1,155.46",400,Yes
T057,4017,T24 - Revenue - Hfts AdHoc,40.000,"",2015-10-16,"R7,703.04","R1,155.46",400,Yes
T058,1023,T24 - Revenue - Mondi KZN,40.000,"",2015-10-16,"R11,107.99","R1,666.20",600,Yes
T059,1026,T24 - Revenue - Mondi KZN,40.000,"",2015-10-16,"R11,107.99","R1,666.20",600,Yes
T060,2006,T24 - Revenue - Mondi KZN,40.000,"",2015-10-16,"R11,107.99","R1,666.20",600,No
T061,1025,T24 - Revenue - Mondi KZN,40.000,"",2015-10-16,"R11,107.99","R1,666.20",600,Yes
T062,2007,T24 - Revenue - Mondi KZN,40.000,"",2015-10-16,"R11,107.99","R1,666.20",600,Yes
T063,2008,T24 - Revenue - Mondi KZN,40.000,"",2015-10-16,"R11,107.99","R1,666.20",600,Yes
T064,6018,T24 - Revenue - Mondi KZN,40.000,"",2015-10-16,"R11,107.99","R1,666.20",600,No
