Truck,Date,Income,Contribution,Kms,Blackout Status
444001,2015-02-23,"R6,161.20","R1,525.25",210,Yes
444002,2015-02-23,"R6,161.20","R1,525.25",210,Yes
545220,2015-02-23,"R11,596.22","R2,870.74",403,Yes
545225,2015-02-23,"R9,503.25","R2,352.61",411,Yes
545229,2015-02-23,"R9,503.25","R2,352.61",411,Yes
644253,2015-02-23,"R11,302.60","R2,798.05",493,Yes
B60,2015-02-23,"R9,503.25","R2,352.61",411,Yes
S12075,2015-02-23,"R9,798.62","R2,425.73",424,Yes
T12037,2015-02-23,"R9,798.62","R2,425.73",424,Yes
T12051,2015-02-23,"R9,798.62","R2,425.73",424,Yes
T12063,2015-02-23,"R9,798.62","R2,425.73",424,Yes
T12087,2015-02-23,"R9,798.62","R2,425.73",424,Yes
T12136,2015-02-23,"R9,798.62","R2,425.73",424,Yes
T2900,2015-02-23,"R10,062.24","R2,490.99",356,Yes
T2912,2015-02-23,"R10,062.24","R2,490.99",356,Yes
T2962,2015-02-23,"R11,596.22","R2,870.74",403,Yes
T2974,2015-02-23,"R10,062.24","R2,490.99",356,Yes
T2986,2015-02-23,"R10,062.24","R2,490.99",356,Yes
T2998,2015-02-23,"R10,062.24","R2,490.99",356,Yes
T3001,2015-02-23,"R11,596.22","R2,870.74",403,Yes
