Truck,FM ID,Primary Fleet,Fleet Tonnages,Function Code,Date,Income,Contribution,Kms,Blackout Status
545220,5221,PPC - Hercules,40.000,302,2015-09-06,R0.00,R0.00,0,Yes
545225,5223,PPC - Hercules,40.000,302,2015-09-06,R0.00,R0.00,0,Yes
545229,5224,PPC - Hercules,40.000,302,2015-09-06,R0.00,R0.00,0,Yes
545230,5154,PPC - Hercules,40.000,302,2015-09-06,R0.00,R0.00,0,Yes
D571,286,PPC - Hercules,40.000,302,2015-09-06,R0.00,R0.00,0,Yes
D619,379,PPC - Hercules,40.000,302,2015-09-06,R0.00,R0.00,0,Yes
E40,"",PPC - Hercules,40.000,302,2015-09-06,R0.00,R0.00,0,Yes
T12037,5228,PPC - Hercules,40.000,302,2015-09-06,R0.00,R0.00,0,Yes
T12051,5229,PPC - Hercules,40.000,302,2015-09-06,R0.00,R0.00,0,Yes
T12063,5230,PPC - Hercules,40.000,302,2015-09-06,R0.00,R0.00,0,Yes
T12087,5231,PPC - Hercules,40.000,302,2015-09-06,R0.00,R0.00,0,Yes
T12136,5232,PPC - Hercules,40.000,302,2015-09-06,R0.00,R0.00,0,Yes
T2900,5233,PPC - Hercules,40.000,302,2015-09-06,R0.00,R0.00,0,Yes
T2912,5234,PPC - Hercules,40.000,302,2015-09-06,R0.00,R0.00,0,Yes
T2962,5235,PPC - Hercules,40.000,302,2015-09-06,R0.00,R0.00,0,Yes
T2974,5236,PPC - Hercules,40.000,302,2015-09-06,R0.00,R0.00,0,Yes
T2986,5237,PPC - Hercules,40.000,302,2015-09-06,R0.00,R0.00,0,Yes
T2998,5238,PPC - Hercules,40.000,302,2015-09-06,R0.00,R0.00,0,Yes
T3001,5239,PPC - Hercules,40.000,302,2015-09-06,R0.00,R0.00,0,Yes
