Fleet No.,Refuel Order Number,Odometer,Last Trip Odometer,Variance
E95,405507,41980.00,42068.00,-88.00
E95,407018,42996.00,43997.00,-1001.00
E79,409936,150982.00,151872.00,-890.00
"","","","",""
E95,411006,44179.00,45264.00,-1085.00
E79,411127,151889.00,153302.00,-1413.00
"","","","",""
"","","","",""
"","","","",""
E95,411536,45184.00,45264.00,-80.00
E80,412253,143589.00,143674.00,-85.00
E79,412795,154387.00,154469.00,-82.00
E95,412839,45922.00,46172.00,-250.00
"","","","",""
E95,414043,46544.00,47647.00,-1103.00
"","","","",""
E80,415557,145181.00,145911.00,-730.00
"","","","",""
E80,416732,146651.00,146935.00,-284.00
E80,417004,146849.00,146935.00,-86.00
E95,417267,48329.00,48415.00,-86.00
E79,417912,154875.00,154971.00,-96.00
E95,419081,49490.00,50455.00,-965.00
E95,419494,50438.00,50455.00,-17.00
"","","","",""
E80,421258,148187.00,148218.00,-31.00
"","","","",""
E80,421780,148375.00,148464.00,-89.00
"","","","",""
"","","","",""
"","","","",""
E79,423604,156728.00,157735.00,-1007.00
E95,424029,53231.00,54363.00,-1132.00
E80,424556,149978.00,150062.00,-84.00
"","","","",""
"","","","",""
E80,425662,150958.00,150062.00,896.00
E80,425758,151327.00,150062.00,1265.00
"","","","",""
"","","","",""
