Fleet No.,Refuel Order Number,Odometer,Last Trip Odometer,Variance
"","","","",""
M038,405051,40200.00,40200.00,0.00
"","","","",""
"","","","",""
M031,405971,74133.00,74133.00,0.00
"","","","",""
M034,406651,72486.00,72437.00,49.00
M007,406710,375542.00,375719.00,-177.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M032,407104,72510.00,72431.00,79.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
M032,413789,74028.00,74017.00,11.00
M038,414967,41694.00,41691.00,3.00
M007,415203,376336.00,376336.00,0.00
M033,415602,77815.00,77934.00,-119.00
"","","","",""
M032,416269,74677.00,74677.00,0.00
"","","","",""
"","","","",""
"","","","",""
M032,417911,74990.00,74677.00,313.00
M032,418210,75304.00,74677.00,627.00
"","","","",""
M031,418623,78374.00,78374.00,0.00
"","","","",""
M033,418892,79360.00,78645.00,715.00
"","","","",""
M007,421547,377580.00,378267.00,-687.00
M033,422541,79753.00,79360.00,393.00
"","","","",""
M031,423264,78595.00,78374.00,221.00
"","","","",""
M007,423374,378564.00,379520.00,-956.00
M033,423726,80234.00,79360.00,874.00
M024,424045,292203.00,291532.00,671.00
M038,424435,42979.00,42979.00,0.00
"","","","",""
"","","","",""
M034,425327,75140.00,74062.00,1078.00
M024,425390,292808.00,291532.00,1276.00
"","","","",""
