Truck,Date,Income,Contribution,Kms,Blackout Status
106,2014-06-10,"R9,282.65","R2,839.58",481,No
108,2014-06-10,"R10,247.13","R2,146.87",583,No
111,2014-06-10,"R10,247.13","R2,146.87",583,No
128,2014-06-10,"R10,247.13","R2,146.87",583,No
140,2014-06-10,"R10,247.13","R2,146.87",583,No
217,2014-06-10,"R6,652.60",R567.57,419,No
218,2014-06-10,"R6,652.60",R567.57,419,No
230,2014-06-10,"R6,652.60",R567.57,419,No
233,2014-06-10,"R6,652.60",R567.57,419,No
243,2014-06-10,"R6,652.60",R567.57,419,No
261,2014-06-10,"R10,247.13","R2,146.87",583,No
262,2014-06-10,"R10,247.13","R2,146.87",583,No
263,2014-06-10,"R10,247.13","R2,146.87",583,Yes
264,2014-06-10,"R10,247.13","R2,146.87",583,No
265,2014-06-10,"R10,247.13","R2,146.87",583,No
266,2014-06-10,"R10,247.13","R2,146.87",583,No
42,2014-06-10,"R6,652.60",R567.57,419,Yes
88,2014-06-10,"R6,652.60",R567.57,419,No
89,2014-06-10,"R6,652.60",R567.57,419,No
99,2014-06-10,"R6,652.60",R567.57,419,No
E55,2014-06-10,"R3,044.27",R475.75,250,Yes
