Truck,FM ID,Primary Fleet,Fleet Tonnages,Function Code,Date,Income,Contribution,Kms,Blackout Status
12,30045,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,No
131,1229,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,Yes
132,1227,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,Yes
147,30084,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,No
150,30092,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,No
152,30089,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,No
153,30117,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,Yes
155,30118,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,No
157,30119,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,Yes
158,30120,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,No
159,30121,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,No
160,30123,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,No
161,30122,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,Yes
299,1340,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,Yes
303,1354,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,No
304,1352,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,No
335,30184,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,No
361,30290,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,No
368,30230,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,No
416,31021,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,Yes
418,31023,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,No
419,31024,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,Yes
427,31032,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,No
432,31037,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,No
439,31044,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,No
48,30050,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,Yes
49,30047,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,No
50,30051,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,No
51,30059,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,No
52,30057,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,No
53,30058,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,No
61,30091,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,Yes
7,30042,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,No
9,30044,LWT Fleet,34.000,002,2015-09-14,"R9,724.50","R2,223.85",540,No
