Truck,Loading ETA,Loading Arrival,Tripleg Income,Total Kms
15,2012-12-21 10:00:00,2012-12-21 07:00:00,"65,238.40",2769
93,2012-12-21 15:00:00,2012-12-21 11:00:00,"14,080.00",1331
175,2012-12-21 13:00:00,2012-12-21 15:46:00,"64,960.00",2725
175,2012-12-20 15:00:00,2012-12-20 17:00:00,816.32,270
199,2012-12-21 13:00:00,(none),"56,477.68",2240.75
202,2012-12-21 12:00:00,2012-12-21 13:10:00,"49,505.45",1790
207,2012-12-21 12:00:00,2012-12-20 18:00:00,"19,500.00",1666
209,2012-12-21 14:00:00,(none),"56,376.47",2240.75
249,2012-12-19 12:00:00,2012-12-19 12:00:00,"13,236.60",1341
171,2012-12-21 12:00:00,2012-12-21 07:00:00,"19,500.00",1799
178,2012-12-21 15:00:00,2012-12-21 15:00:00,"65,331.20",2671
195,2012-12-21 18:00:00,2012-12-21 11:46:00,"48,911.52",1790
125,2012-12-20 16:00:00,2012-12-20 16:20:00,"65,238.40",3025
17,2012-12-21 10:00:00,2012-12-21 08:06:00,"6,411.93",311.43
22,2012-12-21 12:00:00,2012-12-20 17:20:00,"19,500.00",1804
