Truck,Date,Income,Contribution,Kms,Blackout Status
105,2015-03-31,"R6,946.68","R1,521.28",421,No
107,2015-03-31,"R6,946.68","R1,521.28",421,Yes
108,2015-03-31,"R6,946.68","R1,521.28",421,Yes
111,2015-03-31,"R6,946.68","R1,521.28",421,Yes
12,2015-03-31,"R6,946.68","R1,521.28",421,Yes
128,2015-03-31,"R6,946.68","R1,521.28",421,Yes
131,2015-03-31,"R6,946.68","R1,521.28",421,Yes
132,2015-03-31,"R6,946.68","R1,521.28",421,No
140,2015-03-31,"R6,946.68","R1,521.28",421,Yes
141,2015-03-31,"R6,946.68","R1,521.28",421,Yes
142,2015-03-31,"R6,946.68","R1,521.28",421,Yes
147,2015-03-31,"R6,946.68","R1,521.28",421,Yes
150,2015-03-31,"R6,946.68","R1,521.28",421,Yes
152,2015-03-31,"R6,946.68","R1,521.28",421,Yes
153,2015-03-31,"R6,946.68","R1,521.28",421,Yes
155,2015-03-31,"R6,946.68","R1,521.28",421,No
157,2015-03-31,"R6,946.68","R1,521.28",421,No
158,2015-03-31,"R6,946.68","R1,521.28",421,Yes
159,2015-03-31,"R6,946.68","R1,521.28",421,Yes
160,2015-03-31,"R6,946.68","R1,521.28",421,No
161,2015-03-31,"R6,946.68","R1,521.28",421,Yes
245,2015-03-31,"R6,946.68","R1,521.28",421,Yes
299,2015-03-31,"R6,946.68","R1,521.28",421,No
303,2015-03-31,"R6,946.68","R1,521.28",421,No
304,2015-03-31,"R6,946.68","R1,521.28",421,Yes
48,2015-03-31,"R6,946.68","R1,521.28",421,Yes
49,2015-03-31,"R6,946.68","R1,521.28",421,Yes
50,2015-03-31,"R6,946.68","R1,521.28",421,No
51,2015-03-31,"R6,946.68","R1,521.28",421,Yes
52,2015-03-31,"R6,946.68","R1,521.28",421,Yes
53,2015-03-31,"R6,946.68","R1,521.28",421,Yes
61,2015-03-31,"R6,946.68","R1,521.28",421,No
7,2015-03-31,"R6,946.68","R1,521.28",421,Yes
9,2015-03-31,"R6,946.68","R1,521.28",421,No
96,2015-03-31,"R6,946.68","R1,521.28",421,Yes
DM09,2015-03-31,"R6,946.68","R1,521.28",421,Yes
DM10,2015-03-31,"R6,946.68","R1,521.28",421,No
DM11,2015-03-31,"R6,946.68","R1,521.28",421,No
