Truck,FM ID,Primary Fleet,Function Code,Date,Income,Contribution,Kms,Blackout Status
107,1202,LWT Fleet,002,2015-08-01,"R7,541.75",R758.95,473,No
111,1218,LWT Fleet,002,2015-08-01,"R9,724.50","R2,223.85",540,Yes
119,1188,Freight - Volumax Fleet,005,2015-08-01,"R7,541.75",R758.95,473,Yes
12,30045,LWT Fleet,002,2015-08-01,"R9,724.50","R2,223.85",540,No
122,1195,Freight - Volumax Fleet,005,2015-08-01,"R6,989.60",R721.45,444,No
123,1194,Freight - Volumax Fleet,005,2015-08-01,"R6,989.60",R721.45,444,No
124,1203,Freight - Volumax Fleet,005,2015-08-01,"R6,989.60",R721.45,444,Yes
127,5564,Freight - Volumax Fleet,005,2015-08-01,"R6,989.60",R721.45,444,Yes
128,1231,LWT Fleet,002,2015-08-01,"R7,541.75",R758.95,473,No
129,1228,Ashton Fleet,004,2015-08-01,"R7,236.92","R1,618.24",385,No
131,1229,LWT Fleet,002,2015-08-01,"R9,724.50","R2,223.85",540,Yes
132,1227,LWT Fleet,002,2015-08-01,"R9,724.50","R2,223.85",540,Yes
133,1225,Ashton Fleet,004,2015-08-01,"R7,236.92","R1,618.24",385,No
134,1226,Ashton Fleet,004,2015-08-01,"R7,236.92","R1,618.24",385,No
138,1139,Freight - Volumax Fleet,005,2015-08-01,"R7,541.75",R758.95,473,No
144,1172,LWT Fleet,002,2015-08-01,"R6,989.60",R721.45,444,Yes
147,30084,LWT Fleet,002,2015-08-01,"R9,724.50","R2,223.85",540,No
150,30092,LWT Fleet,002,2015-08-01,"R9,724.50","R2,223.85",540,Yes
151,3088,LWT Fleet,002,2015-08-01,"R6,989.60",R721.45,444,Yes
152,30089,LWT Fleet,002,2015-08-01,"R9,724.50","R2,223.85",540,No
153,30117,LWT Fleet,002,2015-08-01,"R9,724.50","R2,223.85",540,Yes
154,30116,LD,001,2015-08-01,"R7,541.75",R758.95,473,No
155,30118,LWT Fleet,002,2015-08-01,"R9,724.50","R2,223.85",540,Yes
157,30119,LWT Fleet,002,2015-08-01,"R9,724.50","R2,223.85",540,Yes
158,30120,LWT Fleet,002,2015-08-01,"R9,724.50","R2,223.85",540,No
159,30121,LWT Fleet,002,2015-08-01,"R9,724.50","R2,223.85",540,No
160,30123,LWT Fleet,002,2015-08-01,"R9,724.50","R2,223.85",540,Yes
161,30122,LWT Fleet,002,2015-08-01,"R9,724.50","R2,223.85",540,No
162,30124,LD,001,2015-08-01,"R7,236.92","R1,618.24",385,No
168,"",Freight - Volumax Fleet,005,2015-08-01,"R6,989.60",R721.45,444,No
244,1233,Ashton Fleet,004,2015-08-01,"R7,236.92","R1,618.24",385,No
245,1235,LWT Fleet,002,2015-08-01,"R7,541.75",R758.95,473,No
246,1178,LD,001,2015-08-01,"R7,541.75",R758.95,473,Yes
247,1179,LD,001,2015-08-01,"R7,541.75",R758.95,473,Yes
248,1186,LD,001,2015-08-01,"R7,541.75",R758.95,473,No
261,1211,LD,001,2015-08-01,"R7,541.75",R758.95,473,Yes
262,1217,LD,001,2015-08-01,"R7,541.75",R758.95,473,No
263,1213,LD,001,2015-08-01,"R7,541.75",R758.95,473,No
264,1212,LD,001,2015-08-01,"R7,541.75",R758.95,473,No
265,1215,LD,001,2015-08-01,"R7,541.75",R758.95,473,Yes
266,1214,Freight - Volumax Fleet,005,2015-08-01,"R6,989.60",R721.45,444,Yes
267,1221,LWT Fleet,002,2015-08-01,"R6,989.60",R721.45,444,No
268,1223,LD,001,2015-08-01,"R7,541.75",R758.95,473,No
299,1340,LWT Fleet,002,2015-08-01,"R9,724.50","R2,223.85",540,Yes
303,1354,LWT Fleet,002,2015-08-01,"R9,724.50","R2,223.85",540,Yes
304,1352,LWT Fleet,002,2015-08-01,"R9,724.50","R2,223.85",540,No
328,5566,Freight - Volumax Fleet,005,2015-08-01,"R6,989.60",R721.45,444,Yes
329,"",LD,001,2015-08-01,"R7,541.75",R758.95,473,No
330,5571,LD,001,2015-08-01,"R7,541.75",R758.95,473,No
331,5572,LD,001,2015-08-01,"R7,236.92","R1,618.24",385,No
332,5554,LWT Fleet,002,2015-08-01,"R6,989.60",R721.45,444,Yes
333,30182,LD,001,2015-08-01,"R7,541.75",R758.95,473,No
334,30181,LD,001,2015-08-01,"R7,541.75",R758.95,473,No
335,30184,LD,001,2015-08-01,"R9,724.50","R2,223.85",540,Yes
336,30183,Freight - Volumax Fleet,005,2015-08-01,"R6,989.60",R721.45,444,No
337,30502,Freight - Volumax Fleet,005,2015-08-01,"R6,989.60",R721.45,444,No
343,30207,Freight - Volumax Fleet,005,2015-08-01,"R6,989.60",R721.45,444,No
344,30206,Freight - Volumax Fleet,005,2015-08-01,"R6,989.60",R721.45,444,Yes
345,30205,Freight - Volumax Fleet,005,2015-08-01,"R6,989.60",R721.45,444,Yes
347,30204,LWT Fleet,002,2015-08-01,"R6,989.60",R721.45,444,No
348,30203,LWT Fleet,002,2015-08-01,"R6,989.60",R721.45,444,No
