Fleet No.,Refuel Order Number,Odometer,Last Trip Odometer,Variance
"","","","",""
D26,405182,190804.00,190797.00,7.00
D586,405251,30914.00,30860.00,54.00
D586,405253,31568.00,31535.00,33.00
"","","","",""
"","","","",""
D588,405994,19475.00,19477.00,-2.00
"","","","",""
D590,406086,21180.00,21178.00,2.00
D584,406221,15462.00,15609.00,-147.00
D584,406221,15462.00,15609.00,-147.00
D589,406231,22189.00,22138.00,51.00
D589,406233,23095.00,22138.00,957.00
D589,406234,23801.00,22138.00,1663.00
"","","","",""
D585,406357,8000.00,8790.00,-790.00
D26,406586,191551.00,191555.00,-4.00
"","","","",""
"","","","",""
D27,407615,125550.00,120365.00,5185.00
"","","","",""
D585,407702,8060.00,6178.00,1882.00
D27,407705,125570.00,122256.00,3314.00
"","","","",""
D584,407710,15475.00,14445.00,1030.00
"","","","",""
D584,407730,15490.00,13953.00,1537.00
D584,407730,15490.00,13953.00,1537.00
D585,407791,8075.00,7491.00,584.00
D27,407792,125580.00,123212.00,2368.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
D27,408013,125600.00,124743.00,857.00
"","","","",""
"","","","",""
D584,408016,16042.00,16042.00,0.00
D26,408019,191839.00,191843.00,-4.00
D585,408031,9595.00,9595.00,0.00
D27,408032,125925.00,126213.00,-288.00
"","","","",""
"","","","",""
D26,408243,192850.00,192849.00,1.00
D26,408610,193030.00,192849.00,181.00
"","","","",""
D590,408819,22485.00,22438.00,47.00
"","","","",""
D584,408889,16587.00,16587.00,0.00
"","","","",""
D27,408902,126584.00,126548.00,36.00
"","","","",""
D587,409071,18888.00,18800.00,88.00
D588,409709,20892.00,21157.00,-265.00
D591,409733,16251.00,16186.00,65.00
D586,409866,32192.00,32158.00,34.00
D586,409868,32879.00,32846.00,33.00
D586,409869,33317.00,33240.00,77.00
D587,409870,19359.00,19309.00,50.00
D587,409871,19879.00,19829.00,50.00
"","","","",""
D26,410006,193557.00,193646.00,-89.00
D590,410549,23296.00,23300.00,-4.00
"","","","",""
D584,410667,17732.00,17905.00,-173.00
D588,410686,21674.00,21157.00,517.00
D584,411697,18353.00,18554.00,-201.00
"","","","",""
D590,411840,23991.00,24014.00,-23.00
"","","","",""
"","","","",""
D588,412278,22424.00,22501.00,-77.00
"","","","",""
D26,412885,194853.00,194575.00,278.00
D26,413710,195045.00,194927.00,118.00
D590,413846,25212.00,25523.00,-311.00
"","","","",""
D585,413906,11752.00,11786.00,-34.00
D26,414521,195544.00,195266.00,278.00
"","","","",""
D585,415273,12368.00,12469.00,-101.00
"","","","",""
D615,416241,4410.00,4418.00,-8.00
D590,417167,26591.00,26593.00,-2.00
D588,417277,24732.00,24731.00,1.00
D26,417566,196492.00,196499.00,-7.00
"","","","",""
D26,418053,196735.00,196742.00,-7.00
"","","","",""
"","","","",""
D25,418307,133505.00,133187.00,318.00
"","","","",""
D585,418315,12390.00,10585.00,1805.00
D585,418368,12400.00,11106.00,1294.00
D584,418378,18896.00,19026.00,-130.00
D584,418378,18896.00,19026.00,-130.00
D27,418513,129160.00,128920.00,240.00
D585,418531,13587.00,13587.00,0.00
D584,418544,18899.00,19470.00,-571.00
D584,418544,18899.00,19470.00,-571.00
"","","","",""
"","","","",""
"","","","",""
D27,419026,129200.00,128672.00,528.00
D28,419027,159000.00,163533.00,-4533.00
"","","","",""
"","","","",""
D586,419814,34069.00,33997.00,72.00
D586,419815,34594.00,34515.00,79.00
D587,419816,20954.00,20833.00,121.00
"","","","",""
D587,419819,21483.00,21437.00,46.00
"","","","",""
D587,419822,22702.00,22580.00,122.00
"","","","",""
D586,419825,35490.00,35482.00,8.00
"","","","",""
D587,419827,24254.00,24052.00,202.00
D586,419828,36001.00,35800.00,201.00
D587,419830,24930.00,24805.00,125.00
"","","","",""
D587,419833,25537.00,25487.00,50.00
"","","","",""
D615,419841,1528.00,(n/a),0.00
"","","","",""
D615,419843,2454.00,(n/a),0.00
"","","","",""
D615,419846,3579.00,3586.00,-7.00
D615,419847,4008.00,4017.00,-9.00
D615,419849,4410.00,4418.00,-8.00
"","","","",""
"","","","",""
D589,419863,26093.00,25826.00,267.00
D589,420102,26487.00,26395.00,92.00
D589,420103,26632.00,26395.00,237.00
D589,420106,27325.00,27883.00,-558.00
"","","","",""
"","","","",""
D589,420120,28832.00,28370.00,462.00
"","","","",""
"","","","",""
D589,420129,30060.00,28370.00,1690.00
D589,420136,30258.00,28370.00,1888.00
"","","","",""
D589,420141,30949.00,28370.00,2579.00
D589,420143,31148.00,28370.00,2778.00
D615,420157,5539.00,5369.00,170.00
D588,420160,25399.00,25379.00,20.00
"","","","",""
"","","","",""
D589,420165,32539.00,32300.00,239.00
D589,420167,33138.00,33138.00,0.00
D589,420173,33376.00,42660.00,-9284.00
D589,420175,33506.00,33506.00,0.00
D589,420177,34115.00,34041.00,74.00
D589,420179,34664.00,34215.00,449.00
D589,420182,35245.00,35157.00,88.00
D589,420185,35983.00,35490.00,493.00
D589,420189,36520.00,36521.00,-1.00
"","","","",""
D589,420195,37580.00,37114.00,466.00
D589,420198,38300.00,37114.00,1186.00
"","","","",""
D589,420201,39222.00,38828.00,394.00
D589,420202,39904.00,39631.00,273.00
"","","","",""
D589,420206,40452.00,40282.00,170.00
D589,420207,41131.00,41822.00,-691.00
D589,420208,41829.00,41822.00,7.00
"","","","",""
"","","","",""
D589,420212,43519.00,42660.00,859.00
D589,420213,43783.00,42660.00,1123.00
"","","","",""
"","","","",""
D589,420219,45459.00,42660.00,2799.00
D589,420438,45459.00,42660.00,2799.00
"","","","",""
D589,420476,47268.00,42660.00,4608.00
D589,420477,47830.00,42660.00,5170.00
"","","","",""
D590,421299,28871.00,28662.00,209.00
"","","","",""
D615,422730,6662.00,6660.00,2.00
D25,423007,134786.00,133187.00,1599.00
D25,423009,135045.00,133187.00,1858.00
D25,423011,135546.00,133187.00,2359.00
D25,423013,136022.00,133187.00,2835.00
"","","","",""
D25,423198,137211.00,133187.00,4024.00
D27,423510,129595.00,129590.00,5.00
