Truck,Loading ETA,Loading Arrival,Tripleg Income,Total Kms
16,2013-10-25 10:00:00,2013-10-25 11:25:00,"50,207.95",2855
31,2013-10-25 09:00:00,2013-10-25 11:26:00,"50,139.94",2855
179,2013-10-25 08:00:00,2013-10-25 08:35:00,"2,573.48",79
179,2013-10-25 20:00:00,2013-10-25 20:00:00,"59,644.39",2137.97
187,2013-10-24 23:30:00,2013-10-25 06:00:00,"49,633.92",1772
194,2013-10-25 20:00:00,2013-10-25 21:16:00,"53,104.32",1772
193,2013-10-24 18:00:00,2013-10-24 22:57:00,"51,406.56",1772
190,2013-10-24 20:00:00,2013-10-25 08:00:00,"3,304.40",210
196,2013-10-25 06:00:00,2013-10-25 06:11:00,"64,619.00",2250
27,2013-10-25 10:00:00,2013-10-25 11:22:00,"50,356.99",2855
75,2013-10-25 08:00:00,2013-10-25 10:00:00,"50,168.88",2855
249,2013-10-25 10:00:00,2013-10-24 19:30:00,"78,302.00",2722
