Truck,FM ID,Primary Fleet,Function Code,Date,Income,Contribution,Kms,Blackout Status
111,1218,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,No
12,30045,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,No
122,1195,Freight - Volumax Fleet,005,2015-08-16,R0.00,R0.00,0,No
123,1194,Freight - Volumax Fleet,005,2015-08-16,R0.00,R0.00,0,No
124,1203,Freight - Volumax Fleet,005,2015-08-16,R0.00,R0.00,0,No
127,5564,Freight - Volumax Fleet,005,2015-08-16,R0.00,R0.00,0,Yes
131,1229,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,Yes
132,1227,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,Yes
147,30084,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,No
150,30092,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,Yes
151,3088,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,No
152,30089,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,No
153,30117,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,No
155,30118,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,Yes
157,30119,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,Yes
158,30120,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,No
159,30121,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,No
160,30123,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,No
161,30122,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,Yes
168,"",Freight - Volumax Fleet,005,2015-08-16,R0.00,R0.00,0,No
266,1214,Freight - Volumax Fleet,005,2015-08-16,R0.00,R0.00,0,No
267,1221,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,No
299,1340,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,Yes
303,1354,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,Yes
304,1352,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,No
328,5566,Freight - Volumax Fleet,005,2015-08-16,R0.00,R0.00,0,No
332,5554,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,Yes
335,30184,LD,001,2015-08-16,R0.00,R0.00,0,Yes
336,30183,Freight - Volumax Fleet,005,2015-08-16,R0.00,R0.00,0,No
337,30502,Freight - Volumax Fleet,005,2015-08-16,R0.00,R0.00,0,No
343,30207,Freight - Volumax Fleet,005,2015-08-16,R0.00,R0.00,0,No
344,30206,Freight - Volumax Fleet,005,2015-08-16,R0.00,R0.00,0,No
345,30205,Freight - Volumax Fleet,005,2015-08-16,R0.00,R0.00,0,No
347,30204,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,Yes
348,30203,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,Yes
350,30209,LD,001,2015-08-16,R0.00,R0.00,0,No
361,30290,LD,001,2015-08-16,R0.00,R0.00,0,No
364,30364,Freight - Volumax Fleet,005,2015-08-16,R0.00,R0.00,0,No
368,30230,LD,001,2015-08-16,R0.00,R0.00,0,No
372,9061,LD,001,2015-08-16,R0.00,R0.00,0,Yes
38,30048,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,No
414,31019,Freight - Volumax Fleet,005,2015-08-16,R0.00,R0.00,0,No
416,31021,Freight - Volumax Fleet,005,2015-08-16,R0.00,R0.00,0,No
418,31023,Freight,"",2015-08-16,R0.00,R0.00,0,No
419,31024,Freight,"",2015-08-16,R0.00,R0.00,0,No
420,31025,Freight - Volumax Fleet,005,2015-08-16,R0.00,R0.00,0,No
421,31026,Freight - Volumax Fleet,005,2015-08-16,R0.00,R0.00,0,No
423,31028,Freight,"",2015-08-16,R0.00,R0.00,0,No
427,31032,Freight,"",2015-08-16,R0.00,R0.00,0,No
429,31034,Freight - Volumax Fleet,005,2015-08-16,R0.00,R0.00,0,Yes
430,31035,Freight - Volumax Fleet,005,2015-08-16,R0.00,R0.00,0,No
431,31036,Freight - Volumax Fleet,005,2015-08-16,R0.00,R0.00,0,No
432,31037,Freight,"",2015-08-16,R0.00,R0.00,0,No
434,31039,Freight - Volumax Fleet,005,2015-08-16,R0.00,R0.00,0,No
435,31040,Freight - Volumax Fleet,005,2015-08-16,R0.00,R0.00,0,No
438,31043,Freight - Volumax Fleet,005,2015-08-16,R0.00,R0.00,0,Yes
439,31044,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,Yes
440,31045,Freight - Volumax Fleet,005,2015-08-16,R0.00,R0.00,0,No
48,30050,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,Yes
49,30047,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,Yes
50,30051,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,No
51,30059,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,No
52,30057,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,Yes
53,30058,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,No
54,30056,Freight - Volumax Fleet,005,2015-08-16,R0.00,R0.00,0,No
55,30060,Freight - Volumax Fleet,005,2015-08-16,R0.00,R0.00,0,No
61,30091,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,No
62,30085,Freight - Volumax Fleet,005,2015-08-16,R0.00,R0.00,0,No
7,30042,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,No
9,30044,LWT Fleet,002,2015-08-16,R0.00,R0.00,0,No
X006,5562,Freight - Volumax Fleet,005,2015-08-16,R0.00,R0.00,0,No
