Truck,Date,Income,Contribution,Kms,Blackout Status
116,2015-05-11,"R8,117.06",R983.33,398,No
120,2015-05-11,"R8,117.06",R983.33,398,Yes
121,2015-05-11,"R8,117.06",R983.33,398,No
144,2015-05-11,"R8,117.06",R983.33,398,No
146,2015-05-11,"R8,117.06",R983.33,398,No
149,2015-05-11,"R8,117.06",R983.33,398,No
151,2015-05-11,"R8,117.06",R983.33,398,Yes
267,2015-05-11,"R8,117.06",R983.33,398,No
328,2015-05-11,"R8,117.06",R983.33,398,No
332,2015-05-11,"R8,117.06",R983.33,398,No
337,2015-05-11,"R8,117.06",R983.33,398,Yes
344,2015-05-11,"R6,898.82",R754.97,412,No
346,2015-05-11,"R8,117.06",R983.33,398,No
347,2015-05-11,"R8,117.06",R983.33,398,Yes
348,2015-05-11,"R8,117.06",R983.33,398,No
38,2015-05-11,"R8,117.06",R983.33,398,Yes
43,2015-05-11,"R8,117.06",R983.33,398,Yes
83,2015-05-11,"R8,117.06",R983.33,398,No
84,2015-05-11,"R8,117.06",R983.33,398,No
85,2015-05-11,"R8,117.06",R983.33,398,No
86,2015-05-11,"R8,117.06",R983.33,398,No
97,2015-05-11,"R8,117.06",R983.33,398,Yes
