Truck,Customer,Subcontractor,Loading ETA,Loading Arrival,Tripleg Income,Total Kms,Loading Started,Expected Total Kms
SN Matjoko 02,PPC-Slurry F & V,"",2015-09-13 15:00:00,2015-09-13 15:00:00,"14,061.67",414,2015-09-13 17:16:00,414
Enduro 01,PPC-Slurry F & V,Enduro,2015-09-13 15:00:00,2015-09-13 15:00:00,"13,030.45",312,2015-09-13 16:52:00,312
Enduro 02,PPC-Slurry F & V,Enduro,2015-09-13 15:00:00,2015-09-13 15:00:00,"13,819.03",390,2015-09-13 16:59:00,390
SN Matjoko 01,PPC-Slurry,"",2015-09-13 15:00:00,2015-09-13 15:00:00,297.60,90,2015-09-13 15:00:00,90
