Truck,Customer,Subcontractor,Loading ETA,Loading Arrival,Tripleg Income,Total Kms,Loading Started,Expected Total Kms
D699,Goldi-Standerton (Catching),"",2015-09-29 08:00:00,2015-09-29 08:15:00,"1,103.28",42,2015-09-29 08:30:00,0
D699,Goldi-Standerton (Catching),"",2015-09-29 13:45:00,2015-09-29 14:00:00,"1,228.83",57,2015-09-29 14:15:00,0
D699,Goldi-Standerton (Catching),"",2015-09-29 20:00:00,2015-09-29 20:15:00,"1,036.32",34,2015-09-29 20:30:00,0
D700,Goldi-Standerton (Catching),"",2015-09-28 23:45:00,2015-09-29 00:00:00,"1,337.64",70,2015-09-29 00:15:00,0
D700,Goldi-Standerton (Catching),"",2015-09-29 09:15:00,2015-09-29 09:30:00,"1,103.28",86,2015-09-29 09:45:00,0
D700,Goldi-Standerton (Catching),"",2015-09-29 15:00:00,2015-09-29 15:15:00,927.51,21,2015-09-29 15:30:00,0
D700,Goldi-Standerton (Catching),"",2015-09-29 21:00:00,2015-09-29 21:15:00,"4,227.43",56,2015-09-29 21:30:00,0
D701,Goldi-Standerton (Catching),"",2015-09-29 06:45:00,2015-09-29 07:00:00,"5,291.98",273,2015-09-29 07:15:00,0
D702,Goldi-Standerton (Catching),"",2015-09-29 04:30:00,2015-09-29 04:45:00,"1,337.12",40,2015-09-29 05:00:00,0
D702,Goldi-Standerton (Catching),"",2015-09-29 12:45:00,2015-09-29 13:00:00,"1,529.63",110,2015-09-29 13:15:00,0
D702,Goldi-Standerton (Catching),"",2015-09-29 18:15:00,2015-09-29 18:30:00,"1,194.83",23,2015-09-29 18:45:00,0
D703,Goldi-Standerton (Catching),"",2015-09-29 11:00:00,2015-09-29 11:15:00,"1,487.78",58,2015-09-29 11:30:00,0
D703,Goldi-Standerton (Catching),"",2015-09-29 17:15:00,2015-09-29 17:30:00,"1,370.60",44,2015-09-29 17:45:00,0
D703,Goldi-Standerton (Catching),"",2015-09-29 01:45:00,2015-09-29 02:00:00,"1,663.55",79,2015-09-29 02:15:00,0
D704,Goldi-Standerton (Catching),"",2015-09-29 02:15:00,2015-09-29 02:30:00,"1,663.55",79,2015-09-29 02:45:00,0
D704,Goldi-Standerton (Catching),"",2015-09-29 12:45:00,2015-09-29 13:00:00,"1,353.86",42,2015-09-29 13:15:00,0
D704,Goldi-Standerton (Catching),"",2015-09-29 18:30:00,2015-09-29 18:45:00,"1,579.85",69,2015-09-29 19:00:00,0
D705,Goldi-Standerton (Catching),"",2015-09-29 01:45:00,2015-09-29 02:00:00,"1,128.39",45,2015-09-29 02:15:00,0
D705,Goldi-Standerton (Catching),"",2015-09-29 09:45:00,2015-09-29 10:00:00,"1,103.28",43,2015-09-29 10:15:00,0
D705,Goldi-Standerton (Catching),"",2015-09-29 15:30:00,2015-09-29 15:45:00,"1,094.91",41,2015-09-29 16:00:00,0
D705,Goldi-Standerton (Catching),"",2015-09-29 21:45:00,2015-09-29 22:00:00,"4,043.29",34,2015-09-29 22:15:00,0
D706,Goldi-Standerton (Catching),"",2015-09-29 04:30:00,2015-09-29 04:45:00,"1,111.65",43,2015-09-29 05:00:00,0
D706,Goldi-Standerton (Catching),"",2015-09-29 10:00:00,2015-09-29 10:15:00,"1,161.87",60,2015-09-29 10:30:00,0
D706,Goldi-Standerton (Catching),"",2015-09-29 18:00:00,2015-09-29 18:15:00,"1,111.65",43,2015-09-29 18:30:00,0
D707,Goldi-Standerton (Catching),"",2015-09-29 07:15:00,2015-09-29 07:30:00,"1,595.55",11,2015-09-29 07:45:00,0
D707,Goldi-Standerton (Catching),"",2015-09-29 12:15:00,2015-09-29 12:30:00,"3,311.40",216,2015-09-29 12:45:00,0
D709,Goldi-Standerton (Catching),"",2015-09-29 05:00:00,2015-09-29 05:15:00,"1,429.19",51,2015-09-29 05:30:00,0
D709,Goldi-Standerton (Catching),"",2015-09-29 13:15:00,2015-09-29 13:30:00,"1,353.86",42,2015-09-29 13:45:00,0
D709,Goldi-Standerton (Catching),"",2015-09-29 18:45:00,2015-09-29 19:00:00,"1,203.20",24,2015-09-29 19:15:00,0
D710,Goldi-Standerton (Catching),"",2015-09-29 02:00:00,2015-09-29 02:15:00,944.25,23,2015-09-29 02:30:00,0
D710,Goldi-Standerton (Catching),"",2015-09-29 10:45:00,2015-09-29 11:00:00,"1,295.79",65,2015-09-29 11:15:00,0
D710,Goldi-Standerton (Catching),"",2015-09-29 17:00:00,2015-09-29 17:15:00,"1,036.32",34,2015-09-29 17:30:00,0
D710,Goldi-Standerton (Catching),"",2015-09-29 22:45:00,2015-09-29 23:00:00,"4,386.46",75,2015-09-29 23:15:00,0
D711,Goldi-Standerton (Catching),"",2015-09-29 08:45:00,2015-09-29 09:00:00,"1,371.12",74,2015-09-29 09:15:00,0
D711,Goldi-Standerton (Catching),"",2015-09-29 14:45:00,2015-09-29 15:00:00,"1,371.12",74,2015-09-29 15:15:00,0
D711,Goldi-Standerton (Catching),"",2015-09-29 20:45:00,2015-09-29 21:00:00,"4,051.66",35,2015-09-29 21:15:00,0
D712,Goldi-Standerton (Catching),"",2015-09-29 07:45:00,2015-09-29 08:00:00,"1,212.09",93,2015-09-29 08:15:00,0
D712,Goldi-Standerton (Catching),"",2015-09-29 14:00:00,2015-09-29 14:15:00,"1,094.91",41,2015-09-29 14:30:00,0
D712,Goldi-Standerton (Catching),"",2015-09-29 20:30:00,2015-09-29 20:45:00,"1,044.69",35,2015-09-29 21:00:00,0
