Fleet No.,Refuel Order Number,Odometer,Last Trip Odometer,Variance
T037,408465,677770.00,669578.00,8192.00
"","","","",""
T037,408785,677912.00,674996.00,2916.00
T037,408786,678431.00,677200.00,1231.00
"","","","",""
T037,408792,682496.00,685900.00,-3404.00
T037,408797,685015.00,686816.00,-1801.00
T037,408798,687952.00,687455.00,497.00
T037,408802,688964.00,688388.00,576.00
T037,409354,689489.00,689482.00,7.00
"","","","",""
T037,409663,690095.00,690305.00,-210.00
T037,410172,691017.00,690788.00,229.00
T021,410449,670000.00,695733.00,-25733.00
"","","","",""
T047,411084,742348.00,741268.00,1080.00
T021,411557,721963.00,720841.00,1122.00
T037,411895,693494.00,693481.00,13.00
T037,412361,693651.00,693633.00,18.00
"","","","",""
"","","","",""
T021,412810,722276.00,722169.00,107.00
T047,413164,743481.00,743391.00,90.00
T021,413304,722573.00,722842.00,-269.00
"","","","",""
T037,413833,694192.00,694190.00,2.00
"","","","",""
T037,414488,695063.00,695015.00,48.00
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
T021,415985,725055.00,725235.00,-180.00
T047,415986,746513.00,746505.00,8.00
T047,416393,747034.00,747029.00,5.00
T047,416624,747515.00,747510.00,5.00
T021,416626,725552.00,725235.00,317.00
T037,416668,696782.00,696772.00,10.00
"","","","",""
"","","","",""
T037,418139,697832.00,697822.00,10.00
"","","","",""
T047,418883,750167.00,750060.00,107.00
"","","","",""
"","","","",""
T047,419226,750646.00,750748.00,-102.00
T021,419464,727462.00,727486.00,-24.00
"","","","",""
T047,419509,751035.00,750748.00,287.00
T021,419759,727994.00,728145.00,-151.00
T037,419955,699781.00,699648.00,133.00
T021,420063,728299.00,728145.00,154.00
T037,420318,700303.00,700303.00,0.00
T021,420533,728992.00,728985.00,7.00
"","","","",""
T021,421671,729968.00,729986.00,-18.00
"","","","",""
T021,422009,730579.00,730579.00,0.00
"","","","",""
"","","","",""
T047,422085,753277.00,753274.00,3.00
T047,422257,753657.00,753970.00,-313.00
T047,422667,754062.00,754470.00,-408.00
"","","","",""
T047,422705,754481.00,754470.00,11.00
T021,422874,731656.00,731650.00,6.00
"","","","",""
T021,423241,732154.00,732141.00,13.00
"","","","",""
"","","","",""
T037,423746,703474.00,703465.00,9.00
"","","","",""
T037,424416,703894.00,704105.00,-211.00
T021,424649,733607.00,733585.00,22.00
"","","","",""
"","","","",""
T021,425134,734504.00,734498.00,6.00
"","","","",""
T047,425561,757134.00,757260.00,-126.00
"","","","",""
