Truck,Date,Income,Contribution,Kms,Blackout Status
116,2015-05-17,R0.00,R0.00,0,No
120,2015-05-17,R0.00,R0.00,0,Yes
121,2015-05-17,R0.00,R0.00,0,No
144,2015-05-17,R0.00,R0.00,0,No
146,2015-05-17,R0.00,R0.00,0,No
149,2015-05-17,R0.00,R0.00,0,No
151,2015-05-17,R0.00,R0.00,0,Yes
267,2015-05-17,R0.00,R0.00,0,No
328,2015-05-17,R0.00,R0.00,0,No
332,2015-05-17,R0.00,R0.00,0,No
337,2015-05-17,R0.00,R0.00,0,Yes
344,2015-05-17,R0.00,R0.00,0,No
346,2015-05-17,R0.00,R0.00,0,No
347,2015-05-17,R0.00,R0.00,0,Yes
348,2015-05-17,R0.00,R0.00,0,No
38,2015-05-17,R0.00,R0.00,0,Yes
43,2015-05-17,R0.00,R0.00,0,Yes
83,2015-05-17,R0.00,R0.00,0,No
84,2015-05-17,R0.00,R0.00,0,No
85,2015-05-17,R0.00,R0.00,0,No
86,2015-05-17,R0.00,R0.00,0,No
97,2015-05-17,R0.00,R0.00,0,Yes
