Truck,Date,Income,Contribution,Kms,Blackout Status
156,2015-02-23,"R11,625.00","R4,637.19",104,Yes
250,2015-02-23,"R6,033.21","R1,350.91",173,Yes
252,2015-02-23,"R6,033.21","R1,350.91",173,Yes
253,2015-02-23,"R6,033.21","R1,350.91",173,Yes
254,2015-02-23,"R6,033.21","R1,350.91",173,Yes
255,2015-02-23,"R6,033.21","R1,350.91",173,Yes
256,2015-02-23,"R6,033.21","R1,350.91",173,Yes
257,2015-02-23,"R6,033.21","R1,350.91",173,Yes
258,2015-02-23,"R6,033.21","R1,350.91",173,Yes
259,2015-02-23,"R6,033.21","R1,350.91",173,Yes
260,2015-02-23,"R6,033.21","R1,350.91",173,Yes
